gene	pct.1	pct.2	enrich.ratio	avg_logFC	gene.score	p_val_adj
CITED2	0.106	0.16	0.6625	-4.8e-4	-3.2e-4	2e-4
ATF7	0.11	0.166	0.66265	-5.5e-4	-3.6e-4	7e-5
FBLN1	0.223	0.376	0.59309	-6.4e-4	-3.8e-4	0
NLN	0.08	0.128	0.625	-7.2e-4	-4.5e-4	6e-5
AP4M1	0.107	0.166	0.64458	-7.6e-4	-4.9e-4	1e-5
MARCH6	0.298	0.451	0.66075	-8e-4	-5.3e-4	0
RPAP2	0.166	0.247	0.67206	-8.1e-4	-5.5e-4	0
ZNF627	0.062	0.102	0.60784	-9.7e-4	-5.9e-4	5.8e-4
CLPP	0.132	0.208	0.63462	-9.7e-4	-6.1e-4	0
ANKMY2	0.081	0.136	0.59559	-0.00102	-6.1e-4	0
RIOK1	0.106	0.158	0.67089	-0.00093000000000000005	-6.2e-4	7.6e-4
UBXN2A	0.114	0.176	0.64773	-9.9e-4	-6.4e-4	0
FGD4	0.134	0.195	0.68718	-0.00105	-7.2e-4	1.5e-4
SSB	0.314	0.457	0.68709	-0.00107	-7.4e-4	0
CNTLN	0.082	0.124	0.66129	-0.00117	-7.7e-4	0.00425
HMGN3	0.475	0.636	0.74686	-0.00104	-7.8e-4	1e-5
TCAIM	0.07	0.129	0.54264	-0.00146	-7.9e-4	0
FAM214A	0.088	0.149	0.5906	-0.00143	-8.4e-4	0
AKAP8	0.072	0.13	0.55385	-0.00156	-8.6e-4	0
PPP1R10	0.203	0.306	0.6634	-0.00134	-8.9e-4	0
USP49	0.081	0.123	0.65854	-0.00137	-9e-4	0.00447
HECW1	0.075	0.115	0.65217	-0.00138	-9e-4	0.00684
ATP6V1F	0.373	0.529	0.7051	-0.00131	-9.2e-4	0
GTF2A1	0.07	0.11	0.63636	-0.00145	-9.2e-4	0.00258
RUFY2	0.291	0.431	0.67517	-0.0014	-9.5e-4	0
PDCD10	0.143	0.21	0.68095	-0.00143	-9.7e-4	2e-5
SEMA5B	0.075	0.115	0.65217	-0.00151	-9.9e-4	0.00371
RPL39L	0.067	0.112	0.59821	-0.00169	-0.00101	4e-5
PRELID3B	0.07	0.11	0.63636	-0.00159	-0.00101	0.0011
CWC25	0.119	0.198	0.60101	-0.00169	-0.00102	0
MAPK7	0.065	0.109	0.59633	-0.00171	-0.00102	6e-5
NUP58	0.097	0.148	0.65541	-0.00156	-0.00102	1.6e-4
MBOAT2	0.096	0.162	0.59259	-0.0018	-0.00107	0
DOPEY2	0.132	0.204	0.64706	-0.00175	-0.00113	0
SOCS7	0.078	0.139	0.56115	-0.00204	-0.00115	0
KCNN3	0.218	0.326	0.66871	-0.00177	-0.00119	0
APBA2	0.204	0.317	0.64353	-0.00196	-0.00126	0
ARFIP1	0.081	0.132	0.61364	-0.00216	-0.00133	1e-5
C5orf42	0.092	0.14	0.65714	-0.00202	-0.00133	5e-4
ARL6IP6	0.147	0.212	0.6934	-0.00193	-0.00134	5e-5
REV3L	0.137	0.215	0.63721	-0.00215	-0.00137	0
RNF20	0.147	0.231	0.63636	-0.0022	-0.0014	0
PDS5B	0.111	0.176	0.63068	-0.00227	-0.00143	0
GTF2H5	0.201	0.303	0.66337	-0.00217	-0.00144	0
DEF8	0.076	0.122	0.62295	-0.00235	-0.00146	1.1e-4
C18orf32	0.132	0.212	0.62264	-0.0024	-0.00149	0
ZNF708	0.126	0.21	0.6	-0.0025	-0.0015	0
MRPL30	0.069	0.116	0.59483	-0.00252	-0.0015	1e-5
NUTF2	0.124	0.202	0.61386	-0.00249	-0.00153	0
GNPAT	0.125	0.181	0.69061	-0.00225	-0.00155	5.2e-4
NOP58	0.194	0.29	0.66897	-0.00233	-0.00156	0
HMGXB4	0.175	0.276	0.63406	-0.00248	-0.00157	0
LINC00665	0.068	0.117	0.5812	-0.0027	-0.00157	0
DHX8	0.073	0.117	0.62393	-0.00261	-0.00163	4e-4
FAM63B	0.123	0.181	0.67956	-0.00242	-0.00165	1.6e-4
TRIP4	0.071	0.12	0.59167	-0.00295	-0.00175	1e-5
CETN3	0.094	0.14	0.67143	-0.00261	-0.00176	0.0024
FAM57B	0.232	0.357	0.64986	-0.00273	-0.00178	0
CAP2	0.112	0.177	0.63277	-0.00282	-0.00178	0
MRPS6	0.204	0.313	0.65176	-0.00287	-0.00187	0
FNDC3A	0.134	0.208	0.64423	-0.00305	-0.00197	0
RNF216	0.133	0.203	0.65517	-0.00302	-0.00198	0
MAEA	0.117	0.18	0.65	-0.00328	-0.00213	0
WDR73	0.099	0.157	0.63057	-0.00343	-0.00217	0
PEF1	0.122	0.179	0.68156	-0.00335	-0.00228	1.7e-4
HAT1	0.084	0.132	0.63636	-0.00359	-0.00229	1.1e-4
METTL23	0.069	0.118	0.58475	-0.00393	-0.0023	0
ADIPOR2	0.064	0.106	0.60377	-0.00386	-0.00233	1.8e-4
GPR161	0.197	0.307	0.64169	-0.00366	-0.00235	0
JMJD6	0.07	0.118	0.59322	-0.00396	-0.00235	1e-5
PHF21A	0.101	0.147	0.68707	-0.0037200000000000002	-0.00256	0.00495
SMARCAD1	0.256	0.382	0.67016	-0.00391	-0.00262	0
TRAP1	0.087	0.143	0.60839	-0.00436	-0.00265	0
HIP1	0.075	0.113	0.66372	-0.00399	-0.00265	0.01404
PCNX	0.07	0.127	0.55118	-0.00483	-0.00266	0
CTC-444N24.11	0.067	0.111	0.6036	-0.00443	-0.00268	1.3e-4
MRPL22	0.148	0.242	0.61157	-0.00446	-0.00273	0
EIF1AX	0.43	0.593	0.72513	-0.00377	-0.00274	0
TTC1	0.163	0.273	0.59707	-0.00461	-0.00275	0
DCK	0.072	0.128	0.5625	-0.00492	-0.00277	0
NUDT9	0.07	0.112	0.625	-0.00445	-0.00278	5.7e-4
SEPT6	0.103	0.157	0.65605	-0.00429	-0.00282	1.2e-4
DPF2	0.101	0.181	0.55801	-0.00511	-0.00285	0
HDX	0.076	0.122	0.62295	-0.00457	-0.00285	1.5e-4
RNASEH2C	0.099	0.147	0.67347	-0.00426	-0.00287	7.9e-4
ZNF606	0.082	0.133	0.61654	-0.00475	-0.00293	1e-5
UMPS	0.076	0.117	0.64957	-0.00453	-0.00294	0.00228
FAM98B	0.092	0.165	0.55758	-0.00541	-0.00302	0
BRD3	0.343	0.51	0.67255	-0.00454	-0.00306	0
PPP2R3A	0.165	0.262	0.62977	-0.00491	-0.00309	0
RNF10	0.122	0.204	0.59804	-0.00519	-0.0031	0
ZNF431	0.137	0.243	0.56379	-0.00553	-0.00312	0
ZBTB41	0.087	0.147	0.59184	-0.0053	-0.00313	0
ZNF140	0.071	0.115	0.61739	-0.00518	-0.0032	2e-4
TMEM9	0.122	0.183	0.66667	-0.00491	-0.00327	7e-5
ISCA2	0.11	0.179	0.61453	-0.00539	-0.00331	0
FEM1A	0.072	0.123	0.58537	-0.00569	-0.00333	0
VPS26A	0.156	0.248	0.62903	-0.00532	-0.00334	0
ALKBH4	0.096	0.154	0.62338	-0.00535	-0.00334	0
MINOS1	0.103	0.17	0.60588	-0.00553	-0.00335	0
TULP3	0.073	0.127	0.5748	-0.00583	-0.00335	0
ZCCHC6	0.085	0.134	0.63433	-0.0053	-0.00336	8e-5
ARHGAP32	0.061	0.115	0.53043	-0.00648	-0.00344	0
BNIP2	0.093	0.166	0.56024	-0.00615	-0.00345	0
ADAM10	0.086	0.128	0.67187	-0.00518	-0.00348	0.00784
ZNF253	0.122	0.196	0.62245	-0.00564	-0.00351	0
UNG	0.088	0.139	0.63309	-0.00558	-0.00353	4e-5
FBXO22	0.071	0.126	0.56349	-0.00628	-0.00354	0
DNAJB14	0.118	0.195	0.60513	-0.00586	-0.00355	0
HMGCR	0.083	0.139	0.59712	-0.00594	-0.00355	0
IFNGR1	0.076	0.121	0.6281	-0.00569	-0.00357	2.7e-4
CFL2	0.167	0.262	0.6374	-0.00562	-0.00358	0
NAB1	0.091	0.147	0.61905	-0.0058	-0.00359	0
KIZ	0.073	0.118	0.61864	-0.00581	-0.0036	9e-5
BORCS8	0.076	0.13	0.58462	-0.00617	-0.00361	0
VPS37A	0.071	0.107	0.66355	-0.00544	-0.00361	0.04502
NDUFB3	0.131	0.206	0.63592	-0.00571	-0.00363	0
MRPL16	0.124	0.195	0.6359	-0.00583	-0.00371	0
KCNQ3	0.318	0.432	0.73611	-0.00504	-0.00371	0
METTL5	0.092	0.141	0.65248	-0.00569	-0.0037200000000000002	2e-4
CACNB4	0.07	0.112	0.625	-0.00595	-0.0037200000000000002	3.2e-4
PIGF	0.074	0.118	0.62712	-0.006	-0.00376	3.5e-4
DLL3	0.094	0.174	0.54023	-0.0071	-0.00383	0
ZCRB1	0.174	0.258	0.67442	-0.00568	-0.00383	0
FUNDC2	0.285	0.418	0.68182	-0.00564	-0.00385	0
PDPK1	0.101	0.179	0.56425	-0.00684	-0.00386	0
YARS2	0.067	0.121	0.55372	-0.00698	-0.00387	0
ZNHIT6	0.057	0.102	0.55882	-0.00698	-0.0039	0
GTF2H3	0.071	0.116	0.61207	-0.00644	-0.00394	1e-4
NAA16	0.1	0.173	0.57803	-0.00687	-0.00397	0
PCGF3	0.089	0.141	0.63121	-0.00631	-0.00398	2e-5
CDH4	0.103	0.173	0.59538	-0.00675	-0.00402	0
EIF2S1	0.128	0.205	0.62439	-0.00646	-0.00403	0
CREB3	0.108	0.165	0.65455	-0.00616	-0.00403	2e-5
EIF2AK1	0.113	0.194	0.58247	-0.00693	-0.00404	0
MRPL46	0.081	0.141	0.57447	-0.00705	-0.00405	0
VIMP	0.142	0.237	0.59916	-0.00681	-0.00408	0
TMED4	0.178	0.269	0.66171	-0.00638	-0.00422	0
FGD5-AS1	0.134	0.206	0.65049	-0.00652	-0.00424	0
RBM39	0.657	0.827	0.79444	-0.00548	-0.00435	2.8e-4
SGCB	0.231	0.328	0.70427	-0.00619	-0.00436	0
MRPL4	0.118	0.2	0.59	-0.00746	-0.0044	0
TMEM11	0.136	0.21	0.64762	-0.0068	-0.00441	0
C17orf62	0.11	0.17	0.64706	-0.00684	-0.00443	1e-5
RBM22	0.196	0.298	0.65772	-0.00677	-0.00446	0
SRRT	0.139	0.209	0.66507	-0.00675	-0.00449	0
MTIF3	0.14	0.211	0.66351	-0.00678	-0.0045	0
SNRPA1	0.135	0.22	0.61364	-0.00736	-0.00452	0
AIP	0.18	0.278	0.64748000000000006	-0.00699	-0.00452	0
CPSF3L	0.102	0.166	0.61446	-0.00736	-0.00452	0
NISCH	0.074	0.117	0.63248	-0.00725	-0.00458	9.4e-4
GID8	0.085	0.149	0.57047	-0.00808	-0.00461	0
KPNA1	0.068	0.109	0.62385	-0.00742	-0.00463	5.1e-4
LSM6	0.112	0.176	0.63636	-0.00732	-0.00466	0
PTPN1	0.081	0.142	0.57042	-0.0083	-0.00473	0
TUG1	0.137	0.225	0.60889	-0.00787	-0.00479	0
CNOT4	0.251	0.395	0.63544	-0.00757	-0.00481	0
NOL11	0.123	0.195	0.63077	-0.00764	-0.00482	0
UBE2J1	0.077	0.12	0.64167	-0.00763	-0.00489	9.1e-4
RUFY1	0.06	0.103	0.58252	-0.00844	-0.00492	3e-5
TKT	0.276	0.415	0.66506	-0.00745	-0.00496	0
TPT1-AS1	0.11	0.185	0.59459	-0.00838	-0.00498	0
PRMT2	0.375	0.539	0.69573	-0.00718	-0.005	0
YIPF3	0.246	0.352	0.69886	-0.00718	-0.00502	0
KIAA1143	0.106	0.168	0.63095	-0.00798	-0.00504	0
SART3	0.099	0.157	0.63057	-0.00805	-0.00508	0
GAPVD1	0.079	0.136	0.58088	-0.00882	-0.00512	0
STX16	0.075	0.123	0.60976	-0.00841	-0.00513	3e-5
TMEM177	0.066	0.108	0.61111	-0.0084	-0.00513	3.1e-4
RNF139	0.073	0.122	0.59836	-0.00867	-0.00519	1e-5
METTL6	0.074	0.11	0.67273	-0.00775	-0.00521	0.03791
SLC4A1AP	0.098	0.166	0.59036	-0.00913	-0.00539	0
WRN	0.057	0.101	0.56436	-0.00961	-0.00542	1e-5
RAB3GAP1	0.064	0.102	0.62745	-0.00864	-0.00542	0.00214
CNIH4	0.099	0.165	0.6	-0.00917	-0.0055	0
EIF3A	0.361	0.504	0.71627	-0.00768	-0.0055	0
C16orf91	0.095	0.172	0.55233	-0.01002	-0.00554	0
LINC00909	0.056	0.106	0.5283	-0.01061	-0.0056	0
CEP97	0.131	0.215	0.6093	-0.00921	-0.00561	0
AKAP11	0.118	0.191	0.6178	-0.00913	-0.00564	0
CXADR	0.26	0.385	0.67532	-0.00845	-0.00571	0
DDX17	0.541	0.734	0.73706	-0.00779	-0.00574	0
DIXDC1	0.181	0.289	0.6263	-0.00918	-0.00575	0
ATIC	0.074	0.127	0.58268	-0.01009	-0.00588	0
RP11-1094M14.11	0.09	0.152	0.59211	-0.01004	-0.00594	0
C12orf65	0.173	0.267	0.64794	-0.00931	-0.00603	0
PRPF3	0.061	0.115	0.53043	-0.01153	-0.00612	0
CBLB	0.091	0.14	0.65	-0.00949	-0.00617	1.9e-4
ZNF622	0.125	0.21	0.59524	-0.01039	-0.00618	0
CTNND2	0.092	0.16	0.575	-0.01076	-0.00619	0
DTD1	0.36	0.518	0.69498	-0.00893	-0.0062	0
FTSJ2	0.067	0.116	0.57759	-0.01074	-0.0062	0
MRPL51	0.259	0.399	0.64912	-0.00964	-0.00626	0
CDC26	0.096	0.144	0.66667	-0.00938	-0.00626	7.8e-4
ATG3	0.095	0.149	0.63758	-0.00983	-0.00627	4e-5
MRPL13	0.13	0.203	0.64039	-0.00983	-0.0063	0
TMEM30A	0.072	0.124	0.58065	-0.01085	-0.0063	0
ARID5B	0.078	0.117	0.66667	-0.00948	-0.00632	0.01504
CLIP1	0.204	0.33	0.61818	-0.01023	-0.00633	0
EIF4E2	0.125	0.177	0.70621	-0.00902	-0.00637	0.00636
C7orf50	0.147	0.232	0.63362	-0.01022	-0.00647	0
TADA2A	0.048	0.104	0.46154	-0.01405	-0.00648	0
RPS6KB1	0.071	0.125	0.568	-0.01141	-0.00648	0
SEMA3C	0.195	0.312	0.625	-0.01044	-0.00652	0
PTCD3	0.114	0.185	0.61622	-0.01059	-0.00653	0
BZW2	0.267	0.394	0.67766	-0.00973	-0.00659	0
GATC	0.07	0.113	0.61947	-0.0107	-0.00663	1.9e-4
CDK11A	0.086	0.143	0.6014	-0.01108	-0.00666	0
STX12	0.155	0.228	0.67982	-0.00984	-0.00669	0
THOC7	0.144	0.23	0.62609	-0.01072	-0.00671	0
IFIT5	0.081	0.136	0.59559	-0.01128	-0.00672	0
ANKRD17	0.149	0.231	0.64502	-0.01045	-0.00674	0
RAB8B	0.133	0.226	0.5885	-0.01157	-0.00681	0
CTR9	0.176	0.276	0.63768	-0.01068	-0.00681	0
WDR3	0.089	0.141	0.63121	-0.01081	-0.00682	2e-5
ZNF397	0.18	0.281	0.64057	-0.01066	-0.00683	0
ARFRP1	0.055	0.102	0.53922	-0.01267	-0.00683	0
THOC3	0.065	0.105	0.61905	-0.01118	-0.00692	0.0014
WDR11	0.084	0.126	0.66667	-0.01043	-0.00695	0.00646
RHOT1	0.108	0.187	0.57754	-0.01205	-0.00696	0
CCT4	0.353	0.513	0.68811	-0.01012	-0.00696	0
TMEM138	0.066	0.109	0.6055	-0.01149	-0.00696	7e-5
RABGGTB	0.066	0.115	0.57391	-0.01222	-0.00701	0
KIAA0430	0.084	0.15	0.56	-0.01258	-0.00704	0
ZNF331	0.079	0.15	0.52667	-0.01341	-0.00706	0
PSMB4	0.19	0.292	0.65068	-0.01086	-0.00707	0
USP33	0.172	0.268	0.64179	-0.01107	-0.00711	0
DOCK4	0.122	0.186	0.65591	-0.01088	-0.00713	0
WNK1	0.146	0.235	0.62128	-0.01149	-0.00714	0
QSER1	0.251	0.385	0.65195	-0.01097	-0.00715	0
SPATS2	0.336	0.495	0.67879	-0.01062	-0.00721	0
GPSM2	0.074	0.11	0.67273	-0.01085	-0.0073	0.04938
FBXO11	0.222	0.353	0.6289	-0.01162	-0.00731	0
TUSC3	0.126	0.203	0.62069	-0.01181	-0.00733	0
CSTB	0.257	0.4	0.6425	-0.01142	-0.00734	0
G2E3	0.16	0.25	0.64	-0.01146	-0.00734	0
DCUN1D5	0.142	0.231	0.61472	-0.01196	-0.00735	0
ZNF567	0.054	0.102	0.52941	-0.014	-0.00741	0
UBR4	0.068	0.112	0.60714	-0.01226	-0.0074400000000000004	5e-5
TPP2	0.056	0.106	0.5283	-0.01414	-0.00747	0
NUP54	0.067	0.128	0.52344	-0.01437	-0.00752	0
ZPR1	0.093	0.148	0.62838	-0.01202	-0.00755	1e-5
RP11-247C2.2	0.068	0.104	0.65385	-0.01157	-0.00757	0.027
CYC1	0.192	0.301	0.63787	-0.01192	-0.0076	0
RNF168	0.116	0.181	0.64088	-0.01188	-0.00761	0
DKC1	0.118	0.184	0.6413	-0.01189	-0.00762	0
STX18	0.058	0.104	0.55769	-0.01367	-0.00762	0
MTX2	0.168	0.273	0.61538	-0.01241	-0.00764	0
GRAMD1A	0.104	0.186	0.55914	-0.01368	-0.00765	0
DNAJB12	0.066	0.102	0.64706	-0.01186	-0.00768	0.02108
ZNF37A	0.157	0.254	0.61811	-0.01244	-0.00769	0
DARS	0.095	0.152	0.625	-0.0123	-0.00769	0
FEZ2	0.117	0.19	0.61579	-0.0125	-0.0077	0
CPSF6	0.153	0.234	0.65385	-0.01183	-0.00773	0
WASH1	0.063	0.111	0.56757	-0.01366	-0.00775	0
UBLCP1	0.069	0.119	0.57983	-0.01343	-0.00779	0
NCBP3	0.155	0.257	0.60311	-0.01293	-0.0078	0
KDELR1	0.154	0.25	0.616	-0.0127	-0.00782	0
SOCS4	0.062	0.105	0.59048	-0.01327	-0.00784	6e-5
BCAP31	0.112	0.17	0.65882	-0.01191	-0.00785	2e-5
FAM188A	0.065	0.121	0.53719	-0.01464	-0.00786	0
LETMD1	0.087	0.142	0.61268	-0.01283	-0.00786	0
IAH1	0.153	0.25	0.612	-0.01292	-0.0079	0
CASC15	0.426	0.593	0.71838	-0.01108	-0.00796	0
AKAP6	0.12	0.191	0.62827	-0.01269	-0.00797	0
GJC1	0.067	0.123	0.54472	-0.01465	-0.00798	0
KIAA1549	0.138	0.215	0.64186	-0.01245	-0.00799	0
ATP5G3	0.399	0.541	0.73752	-0.01095	-0.00808	0
ZYG11B	0.119	0.199	0.59799	-0.01359	-0.00812	0
GLO1	0.127	0.207	0.61353	-0.01323	-0.00812	0
GTF2IRD2	0.086	0.143	0.6014	-0.0135	-0.00812	0
CCER2	0.092	0.163	0.56442	-0.01447	-0.00817	0
SGIP1	0.08	0.142	0.56338	-0.01454	-0.00819	0
NEO1	0.059	0.105	0.5619	-0.01477	-0.0083	0
NKIRAS1	0.061	0.101	0.60396	-0.01391	-0.0084	6e-4
UBQLN1	0.135	0.222	0.60811	-0.01385	-0.00842	0
DNAJB5	0.081	0.124	0.65323	-0.0129	-0.00843	0.00325
ASPSCR1	0.077	0.145	0.53103	-0.01589	-0.00844	0
SF1	0.358	0.51	0.70196	-0.01202	-0.00844	0
MRPS23	0.131	0.221	0.59276	-0.01427	-0.00846	0
UBE2O	0.078	0.144	0.54167	-0.01566	-0.00848	0
DRG2	0.06	0.11	0.54545	-0.0157	-0.00857	0
RRAGB	0.108	0.188	0.57447	-0.01493	-0.00858	0
PPP1R12B	0.12	0.188	0.6383	-0.01347	-0.0086	0
KIF1BP	0.112	0.186	0.60215	-0.0143	-0.00861	0
EIF3K	0.465	0.656	0.70884	-0.01217	-0.00863	0
CHCHD1	0.141	0.221	0.63801	-0.01361	-0.00868	0
UBE2K	0.149	0.229	0.65066	-0.01339	-0.00871	0
ERC1	0.191	0.327	0.5841	-0.01492	-0.00872	0
UBAC2	0.063	0.113	0.55752	-0.01575	-0.00878	0
C9orf72	0.059	0.107	0.5514	-0.01597	-0.0088	0
MSH3	0.075	0.124	0.60484	-0.01463	-0.00885	1e-5
KTI12	0.067	0.114	0.58772	-0.0151	-0.00888	2e-5
HSPD1	0.444	0.593	0.74874	-0.01189	-0.0089	2e-5
FKBP4	0.12	0.194	0.61856	-0.01454	-0.00899	0
UBR2	0.07	0.128	0.54688	-0.01652	-0.00903	0
TRAPPC2	0.056	0.103	0.54369	-0.01666	-0.00906	0
SLC36A4	0.078	0.13	0.6	-0.0151	-0.00906	0
DNMT1	0.104	0.174	0.5977	-0.01518	-0.00907	0
TBC1D7	0.067	0.111	0.6036	-0.01513	-0.00913	8e-5
FAM136A	0.146	0.233	0.62661	-0.01459	-0.00914	0
NDUFA2	0.206	0.324	0.6358	-0.01439	-0.00915	0
MLH3	0.094	0.16	0.5875	-0.01559	-0.00916	0
CDC42SE2	0.065	0.113	0.57522	-0.01594	-0.00917	0
PSMA3	0.223	0.332	0.67169	-0.01369	-0.0092	0
QRSL1	0.075	0.125	0.6	-0.01533	-0.0092	0
TUBB4B	0.216	0.327	0.66055	-0.01397	-0.00923	0
PDHX	0.079	0.135	0.58519	-0.01578	-0.00923	0
IMMP1L	0.09	0.16	0.5625	-0.01647	-0.00926	0
ZNF74	0.069	0.126	0.54762	-0.01694	-0.00928	0
DDX19A	0.055	0.103	0.53398	-0.01744	-0.00931	0
C3orf38	0.11	0.171	0.64327	-0.01448	-0.00932	0
IQGAP2	0.111	0.179	0.62011	-0.01515	-0.0094	0
HADHA	0.316	0.462	0.68398	-0.0138	-0.00944	0
RASA1	0.108	0.161	0.67081	-0.01408	-0.00944	5.9e-4
TSFM	0.08	0.138	0.57971	-0.01631	-0.00945	0
TBC1D15	0.072	0.121	0.59504	-0.01588	-0.00945	1e-5
C6orf203	0.135	0.206	0.65534	-0.01445	-0.00947	0
WDR74	0.098	0.163	0.60123	-0.01578	-0.00949	0
C4orf27	0.192	0.29	0.66207	-0.01435	-0.0095	0
ITFG2	0.079	0.125	0.632	-0.01504	-0.0095	1.3e-4
ZMYND11	0.118	0.198	0.59596	-0.01596	-0.00951	0
FAM118A	0.054	0.101	0.53465	-0.01778	-0.00951	0
COQ4	0.093	0.15	0.62	-0.01534	-0.00951	0
C12orf73	0.07	0.115	0.6087	-0.01563	-0.00951	1e-4
NPEPPS	0.167	0.276	0.60507	-0.01573	-0.00952	0
TXNDC9	0.095	0.145	0.65517	-0.01453	-0.00952	1.2e-4
RBMX2	0.137	0.216	0.63426	-0.01514	-0.0096	0
KAT6B	0.307	0.46	0.66739	-0.01442	-0.00962	0
PPM1A	0.092	0.156	0.58974	-0.01631	-0.00962	0
NINL	0.062	0.107	0.57944	-0.01661	-0.00962	1e-5
NUAK1	0.094	0.149	0.63087	-0.01532	-0.00966	1e-5
GSTM3	0.095	0.143	0.66434	-0.01454	-0.00966	5.2e-4
DCP2	0.105	0.194	0.54124	-0.01791	-0.00969	0
CDC42BPA	0.095	0.153	0.62092	-0.01561	-0.00969	0
DNAJC15	0.201	0.327	0.61468	-0.01581	-0.00972	0
CTNNBIP1	0.057	0.108	0.52778	-0.01854	-0.00978	0
FAM149A	0.059	0.101	0.58416	-0.01684	-0.00984	1e-4
EGR1	0.207	0.282	0.73404	-0.01343	-0.00986	2.8e-4
ATG14	0.069	0.122	0.56557	-0.01745	-0.00987	0
TTC21B	0.066	0.115	0.57391	-0.01727	-0.00991	0
CHD4	0.261	0.395	0.66076	-0.01501	-0.00992	0
CST3	0.161	0.258	0.62403	-0.01594	-0.00995	0
POLB	0.128	0.198	0.64646	-0.01541	-0.00996	0
PAICS	0.088	0.136	0.64706	-0.01539	-0.00996	2e-4
RUNX1T1	0.084	0.132	0.63636	-0.01569	-0.00999	2.2e-4
GABARAPL1	0.07	0.107	0.65421	-0.01534	-0.01004	0.01882
MYO10	0.223	0.354	0.62994000000000006	-0.016	-0.01008	0
TMEM256	0.074	0.133	0.55639	-0.01814	-0.01009	0
ZNF721	0.143	0.218	0.65596	-0.01539	-0.0101	0
SLC35E3	0.108	0.172	0.62791	-0.01609	-0.0101	0
PSMD13	0.219	0.321	0.68224	-0.01487	-0.01014	0
YPEL1	0.122	0.206	0.59223	-0.01718	-0.01017	0
MRPL34	0.061	0.113	0.53982	-0.01888	-0.01019	0
MPC1	0.149	0.212	0.70283	-0.01455	-0.01023	5.4e-4
SAMM50	0.101	0.177	0.57062	-0.01797	-0.01026	0
FAM171A1	0.071	0.121	0.58678	-0.01754	-0.01029	0
EXOSC5	0.12	0.2	0.6	-0.01717	-0.0103	0
NME1	0.241	0.373	0.64611	-0.01601	-0.01034	0
LAMTOR3	0.136	0.202	0.67327	-0.0154	-0.01037	1e-5
TMOD2	0.103	0.186	0.55376	-0.01874	-0.01038	0
DDX1	0.25	0.383	0.65274	-0.01595	-0.01041	0
MYSM1	0.086	0.164	0.52439	-0.01985	-0.01041	0
GSK3B	0.162	0.257	0.63035	-0.01656	-0.01044	0
MYNN	0.08	0.134	0.59701	-0.01753	-0.01047	0
CCPG1	0.106	0.179	0.59218	-0.0177	-0.01048	0
MIER1	0.111	0.186	0.59677	-0.01764	-0.01053	0
TRAPPC6B	0.077	0.125	0.616	-0.01713	-0.01055	2e-5
TMEM70	0.101	0.161	0.62733	-0.01683	-0.01056	0
ADH5	0.265	0.393	0.6743	-0.01569	-0.01058	0
PWAR6	0.097	0.159	0.61006	-0.01734	-0.01058	0
AKT2	0.067	0.122	0.54918	-0.01941	-0.01066	0
CAMK2G	0.084	0.137	0.61314	-0.01746	-0.01071	0
APTX	0.063	0.107	0.58879	-0.01828	-0.01077	3e-5
FRS2	0.057	0.102	0.55882	-0.01932	-0.0108	0
NR2F1-AS1	0.108	0.194	0.5567	-0.0196	-0.01091	0
WDR48	0.176	0.281	0.62633	-0.01744	-0.01092	0
PNPLA8	0.201	0.322	0.62422	-0.01756	-0.01096	0
SRP54	0.132	0.228	0.57895	-0.01897	-0.01099	0
TM9SF2	0.11	0.182	0.6044	-0.01821	-0.011	0
MAGOH	0.149	0.241	0.61826	-0.01782	-0.01102	0
ZNF626	0.07	0.116	0.60345	-0.01828	-0.01103	2e-5
PGM3	0.064	0.11	0.58182	-0.01904	-0.01108	1e-5
DKK3	0.084	0.151	0.55629	-0.01993	-0.01109	0
GPR137C	0.063	0.12	0.525	-0.0212	-0.01113	0
RBBP4	0.353	0.516	0.68411	-0.01628	-0.01114	0
FHOD3	0.076	0.142	0.53521	-0.02081	-0.01114	0
USP31	0.054	0.104	0.51923	-0.02148	-0.01115	0
CEP57L1	0.097	0.155	0.62581	-0.01784	-0.01116	0
MEGF9	0.085	0.149	0.57047	-0.01962	-0.01119	0
KIF20B	0.078	0.126	0.61905	-0.01811	-0.01121	3e-5
CCT5	0.275	0.419	0.65632	-0.01709	-0.01122	0
SMIM7	0.212	0.347	0.61095	-0.01837	-0.01123	0
ZNF106	0.16	0.274	0.58394	-0.01926	-0.01125	0
MYH10	0.191	0.32	0.59688	-0.01889	-0.01127	0
CYFIP2	0.104	0.171	0.60819	-0.01853	-0.01127	0
AGO2	0.075	0.123	0.60976	-0.01852	-0.01129	3e-5
KATNAL1	0.058	0.103	0.56311	-0.02007	-0.0113	0
KAT7	0.078	0.135	0.57778	-0.01957	-0.01131	0
PRPF40A	0.326	0.463	0.7041	-0.01607	-0.01132	0
IBTK	0.093	0.152	0.61184	-0.01856	-0.01136	0
DHX9	0.282	0.43	0.65581	-0.01735	-0.01138	0
CISD2	0.099	0.163	0.60736	-0.01874	-0.01138	0
ARMCX1	0.151	0.242	0.62397	-0.01826	-0.0114	0
NOL4L	0.075	0.142	0.52817	-0.02159	-0.01141	0
UBXN4	0.36	0.52	0.69231	-0.01649	-0.01142	0
TUSC2	0.083	0.15	0.55333	-0.02064	-0.01142	0
HAUS6	0.073	0.118	0.61864	-0.01848	-0.01143	1.4e-4
C19orf12	0.088	0.147	0.59864	-0.01918	-0.01148	0
