gene	pct.1	pct.2	enrich.ratio	avg_diff	gene.score	p_val_adj
FNBP1L	0.543	0.785	0.69172	-26.15794	-18.09396	1.0151640302720613e-36
EEF1B2	0.639	0.798	0.80075	-22.92694	-18.35879	5.006819312246047e-5
AKAP9	0.592	0.764	0.77487	-23.81346	-18.45231	7.892594223918804e-6
RBMX	0.542	0.75	0.72267	-25.782	-18.63179	2.2667636678878946e-31
ZNF292	0.597	0.787	0.75858	-24.6115	-18.66971	7.0848208454339345e-16
ATP5G2	0.61	0.807	0.75589	-25.278	-19.10729	1.7681435788796225e-19
RBM39	0.657	0.827	0.79444	-24.07932	-19.12952	2.8427296802805254e-4
FOXG1	0.596	0.813	0.73309	-26.8121	-19.65561	1.4248343870301818e-17
MEX3A	0.591	0.795	0.7434	-26.6702	-19.82653	5.288360232163441e-18
GRIA2	0.538	0.765	0.70327	-28.33144	-19.92459	5.200267337430913e-32
HSPA8	0.786	0.859	0.91501999999999994	-21.88345	-20.02374	1.6584608950775108e-4
CAMK2N1	0.323	0.763	0.42333	-47.47676	-20.09829	6.288155207692885e-272
PRDX1	0.845	0.906	0.93267	-21.55037	-20.0994	3.121548564203147e-8
KHDRBS1	0.504	0.787	0.64041	-31.48385	-20.16246	4.644373805919975e-79
TMEM158	0.204	0.727	0.28061	-72.50762	-20.34602	0
SRRM2	0.411	0.803	0.51183	-39.90947	-20.42689	2.6436257517883078e-188
GTF2I	0.646	0.824	0.78398	-26.07768	-20.4444	4.248868640697868e-10
SYNE2	0.805	0.876	0.91895	-22.74461	-20.90115	0.001987374630511868
MAP2	0.801	0.867	0.92388	-22.67452	-20.94843	0.0018964592096733352
EIF1B	0.676	0.83	0.81446	-26.47173	-21.56011	0.001615360692099897
FABP7	0.936	0.95	0.98526	-22.01723	-21.69277	7.316980885528203e-51
NRN1	0.548	0.763	0.71822	-31.02635	-22.28367	6.23237267695453e-41
CPE	0.51	0.81	0.62963	-35.6046	-22.41771	9.97539946232655e-85
ATP5E	0.656	0.848	0.77358	-29.14632	-22.54715	3.675596314892367e-15
NEUROD2	0.579	0.798	0.72556	-31.410520000000002	-22.79034	3.628747835934519e-30
SFPQ	0.561	0.827	0.67836	-33.77152	-22.90909	1.9834239799386157e-64
SON	0.587	0.835	0.70299	-32.67908	-22.9732	1.664668505644732e-54
C12orf57	0.537	0.812	0.66133	-34.88834	-23.07271	1.6407486591050542e-77
CHCHD2	0.846	0.912	0.92763	-25.17245	-23.35076	1.5888223045666922e-5
SET	0.473	0.818	0.57824	-40.5385	-23.44097	9.137967102278203e-153
RPL35	0.896	0.948	0.94515	-25.02584	-23.65312	3.443454173287293e-12
EZR	0.681	0.837	0.81362	-29.3501	-23.87983	2.5583482540913805e-6
HIST1H4C	0.387	0.78	0.49615	-48.5084	-24.06763	1.0942253546520737e-213
DYNC1I2	0.545	0.786	0.69338	-34.78932	-24.12237	1.3855828565099616e-61
NCL	0.65	0.849	0.76561	-31.97809	-24.48263	3.7451534616650435e-25
RPL21	0.994	0.997	0.99699	-25.12299	-25.0474	3.9871094281792475e-109
RPL27	0.706	0.891	0.79237	-32.01597	-25.36843	6.319381767659229e-12
HMGN1	0.667	0.868	0.76843	-34.61963	-26.60287	4.2853776086890994e-26
NPM1	0.748	0.892	0.83857	-32.15763	-26.96626	1.0269901301918122e-5
RTN1	0.932	0.953	0.97796	-28.23492	-27.61274	3.0336875298557618e-43
GAPDH	0.95	0.963	0.9865	-28.46302	-28.07879	7.543938383025415e-46
YBX1	0.674	0.888	0.75901	-38.05315	-28.88269	3.910775779727421e-11
RTN4	0.738	0.891	0.82828	-35.20869	-29.16275	5.834938539076556e-7
PTMS	0.433	0.817	0.52999	-55.95177	-29.65375	1.7235150165769785e-229
ZFAS1	0.664	0.879	0.7554	-40.87024	-30.87354	2.2264056957789346e-37
RPL3	0.996	0.997	0.999	-31.80176	-31.76987	2.691341796979736e-99
BEX1	0.693	0.872	0.79472	-40.62682	-32.28714	2.6120602953629756e-30
NTM	0.56	0.783	0.7152	-45.31013	-32.40571	3.5138947846405577e-54
TUBB2A	0.618	0.846	0.7305	-47.04414	-34.36558	6.20297895527562e-64
CIRBP	0.944	0.974	0.9692	-37.01492	-35.87483	9.325777524342883e-13
RPS14	0.991	0.996	0.99498	-36.34439	-36.16193	2.8623128175605556e-95
SUMO2	0.931	0.972	0.95782	-38.5761	-36.94892	4.631836526022007e-11
MT-ND4L	0.707	0.863	0.81924	-45.26214	-37.08034	1.4334277096090744e-25
RPL10A	0.959	0.977	0.98158	-38.27417	-37.56901	1.5374894194449667e-33
TUBB	0.998	0.997	1.001	-37.79405	-37.83196	1.1121847168210981e-151
CKB	0.675	0.899	0.75083	-50.66955	-38.04443	7.476399692191542e-68
BTG1	0.58	0.868	0.6682	-59.16582	-39.53477	8.300653698312477e-130
COX7C	0.809	0.935	0.86524	-45.81253	-39.63886	6.4229432527281574e-9
SRP14	0.943	0.973	0.96917	-41.06858	-39.80234	7.276344964162261e-9
DDX5	0.822	0.944	0.87076	-46.96731	-40.89738	0.00516801681056839
BTF3	0.933	0.973	0.95889	-42.76957	-41.01131	9.628537110759802e-5
TCF4	0.819	0.949	0.86301	-49.49832	-42.71772	0.0012205367289557724
NRXN1	0.618	0.902	0.68514	-66.16825	-45.33479	2.5789837586016525e-168
ACTB	0.994	0.997	0.99699	-46.68282	-46.54235	6.909185256128879e-89
GNAS	0.445	0.877	0.50741	-92.42259	-46.8963	0
MAP1B	0.959	0.978	0.98057	-48.10348	-47.16895	1.1597027618607974e-27
DDAH2	0.953	0.976	0.97643	-48.36679	-47.227	5.742101390271207e-10
HNRNPDL	0.859	0.952	0.90231	-54.40935	-49.09415	9.308962064240652e-6
RPSA	0.959	0.982	0.97658	-51.46183	-50.25651	1.2127148135830773e-9
RPL26	0.99	0.996	0.99398	-51.49385	-51.18364	4.0047971130544925e-55
JUND	0.327	0.842	0.38836	-135.101	-52.46797	0
FTL	0.97	0.989	0.98079	-57.39405	-56.29143	1.0791123767965296e-13
RPS5	0.965	0.99	0.97475	-58.85293	-57.36674	5.465172693358269e-4
MT-ND5	0.82	0.931	0.88077	-66.07677	-58.19866	4.4876386576780137e-29
HES6	0.548	0.858	0.63869	-91.87919	-58.68274	4.217137450681349e-154
RPL41	0.826	0.949	0.87039	-72.12576	-62.77754	1.1314841562272346e-21
GPM6A	0.873	0.96	0.90938	-69.79501	-63.46983	2.0839657928016273e-24
RPS9	0.971	0.995	0.97588	-66.36416	-64.76342	0.009006474431802445
STMN1	0.998	0.999	0.999	-65.61817	-65.55248	4.892172473578062e-125
MARCKS	0.738	0.946	0.78013	-86.00678	-67.0962	1.1761889263170744e-142
GNB2L1	0.986	0.995	0.99095	-67.98867	-67.37369	1.0366966792183814e-26
RPL12	0.898	0.974	0.92197	-73.17021	-67.46083	2.754186654173896e-15
RPL15	0.995	0.998	0.99699	-69.25438	-69.0462	1.5633309835053608e-47
MARCKSL1	0.776	0.936	0.82906	-83.65948	-69.35871	2.68595551839248e-12
RPL18A	0.987	0.997	0.98997	-73.73944	-72.99983	0.0012676926355319861
RPL38	0.901	0.97	0.92887	-84.44543	-78.43848	7.601497182124269e-15
RPL23	0.901	0.974	0.92505	-85.38775	-78.98805	3.879727730991022e-20
RPS21	0.464	0.849	0.54653	-145.04945	-79.2732	0
RPS7	0.93	0.986	0.9432	-84.79094	-79.97522	2.483646847920723e-12
ENC1	0.885	0.982	0.90122	-93.17621	-83.97245	9.623870174566598e-22
RPL36	0.885	0.971	0.91143	-93.45448	-85.17736	1.7822390441768677e-41
RPS19	0.991	0.998	0.99299	-87.45411	-86.84071	9.630328769396079e-6
RPL28	0.953	0.989	0.9636	-96.37191	-92.86393	3.35395659420686e-5
TPT1	0.957	0.993	0.96375	-96.79662	-93.28737	3.588904207482723e-9
FAU	0.768	0.944	0.81356	-116.93222	-95.1313	3.92526245454726e-161
H3F3B	0.997	1	0.997	-98.32095	-98.02599	3.450621058294931e-36
RPL14	0.945	0.987	0.95745	-107.80062	-103.21336	2.1234002618689474e-31
SOX11	0.946	0.991	0.95459	-109.7529	-104.76917	3.233950663271489e-27
RPLP1	0.966	0.993	0.97281	-109.65517	-106.67361	0.0017360365355800417
RPL22	0.964	0.991	0.97275	-114.7169	-111.59142	8.534308438399825e-26
RPL29	0.976	0.995	0.9809	-116.77377	-114.54392	6.977336849095329e-12
NACA	0.974	0.996	0.97791	-122.13826	-119.44043	2.564882159450231e-19
RPS4X	1	0.999	1.001	-119.62821	-119.74795	2.894074580937303e-23
ACTG1	0.993	0.999	0.99399	-121.26599	-120.53767	5.197464952253469e-4
RPL5	0.983	0.997	0.98596	-126.34617	-124.572	5.028744026449751e-10
RPS28	0.937	0.983	0.9532	-132.86409	-126.64665	2.0622820145142754e-56
RPS26	0.848	0.963	0.88058	-145.29507	-127.94416	1.7374533783783407e-157
RPS11	0.962	0.992	0.96976	-133.10005	-129.07485	1.5627054897797333e-32
RPL18	0.982	0.997	0.98495	-133.16641	-131.1629	3.5610898571534066e-8
RPL6	0.998	0.999	0.999	-131.99806	-131.86593	1.1727073056736782e-13
RPL24	0.979	0.996	0.98293	-139.20712	-136.8311	2.84895858972819e-28
RPS29	0.858	0.968	0.88636	-157.2779	-139.40541	6.137995384782329e-128
RPL35A	0.985	0.995	0.98995	-145.96429	-144.49731	1.4369288731042655e-10
RPS12	0.977	0.993	0.98389	-149.84244	-147.42806	8.410041344845221e-35
BASP1	0.676	0.917	0.73719	-203.37178	-149.92293	0
RPL7A	0.973	0.996	0.97691	-161.24108	-157.51764	2.407544399765831e-63
MT-ND1	0.948	0.984	0.96341	-164.13272	-158.12787	1.7115636970875286e-63
RPS3A	0.999	1	0.999	-158.93477	-158.77584	7.578411685786827e-4
TMSB10	0.997	0.998	0.999	-162.24012	-162.07755	0.0024011616485070807
MT-ND4	0.988	0.995	0.99296	-180.76492	-179.4932	0.0022173695774154643
RPS23	0.998	0.999	0.999	-200.80839	-200.60738	4.3973202968708976e-8
RPL11	0.995	0.999	0.996	-206.98644	-206.15767	2.844986287299469e-5
RPL37	0.962	0.994	0.96781	-243.01424	-235.19085	1.1100306922983721e-184
RPS27	0.995	0.999	0.996	-240.90555	-239.94097	7.849841948202507e-19
RPL30	0.98	0.997	0.98295	-245.4121	-241.22754	1.2827320377188805e-131
RPL39	0.991	0.998	0.99299	-252.92159	-251.14759	6.16223348744767e-47
RPS24	0.998	0.999	0.999	-251.44829	-251.19659	2.225061327316522e-12
RPL37A	0.995	0.998	0.99699	-257.83487	-257.05982	4.153993455404561e-43
RPL10	1	1	1	-295.27718	-295.27718	3.0997041759179754e-5
EEF1A1	1	1	1	-304.29904	-304.29904	4.718297670979563e-18
TUBA1A	1	1	1	-360.55954	-360.55954	4.43053275435302e-10
SOX4	0.996	1	0.996	-386.1671	-384.62243	2.46843935009129e-124
MT-CYB	0.978	0.995	0.98291	-416.38575	-409.27162	3.701484586634141e-208
MT-CO1	0.999	0.997	1.00201	-410.47795	-411.30137	2.3276843110265002e-5
MT-ND3	0.939	0.987	0.95137	-486.39535	-462.74086	0
MT-ATP6	0.974	0.995	0.97889	-480.39278	-470.25384	0
MT-CO2	0.985	0.995	0.98995	-480.08589	-475.26091	1.6833373970666288e-248
MT-CO3	0.999	0.998	1.001	-699.55467	-700.25563	2.3782749900445552e-147
MALAT1	1	1	1	-2390.62232	-2390.62232	9.176714673533544e-47
