gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	name_1006	n	description	go_id	definition_1006	namespace_1003	family	is_tf	stage_region	stage	region
RPL37A	early_temporal	temporal	ipc_early	ipc_temporal	ipc	gw16	0.30958	0	0	1	0.997	0.997	0.30958	protein binding	2221	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_temporal	early	temporal
RPL38	early_temporal	temporal	ipc_early	ipc_temporal	ipc	gw16	0.30921	0	0.021	1.02197	0.977	0.956	0.30257	protein binding	2221	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_temporal	early	temporal
MT-ND3	early_temporal	temporal	ipc_early	ipc_temporal	ipc	gw16	0.25256	0	0.007	1.00709	0.994	0.987	0.25078	protein binding	2221	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_temporal	early	temporal
H1F0	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.85333	0.02707	0.234	1.67826	0.579	0.345	0.50846	NA	NA	NA	NA	NA	NA	NA	non_TF	early_v1	early	v1
NDUFB7	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.71871	0.02599	0.238	1.67422	0.591	0.353	0.42928	protein binding	2221	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
ARL6IP1	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.69326	0.00364	0.234	1.47368	0.728	0.494	0.47042	protein binding	2221	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
GDI1	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.67644	0.03532	0.231	1.79931	0.52	0.289	0.37594	protein binding	2221	GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
FXYD6	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.5656	0.0157	0.239	1.61757	0.626	0.387	0.34966	protein binding	2221	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NSG1	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.53557	0.03619	0.235	1.60724	0.622	0.387	0.33322	protein binding	2221	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
EEF2	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.5141	8e-5	0.092	1.11261	0.909	0.817	0.46207	protein binding	2221	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NDUFB11	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.49414	0.03008	0.185	1.27166	0.866	0.681	0.38858	protein binding	2221	NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
AC090498.1	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.35475	0.00222	0.119	1.14337	0.949	0.83	0.31027	NA	NA	NA	NA	NA	NA	NA	non_TF	early_v1	early	v1
RPS14	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.33729	0.0082	0.009	1.00908	1	0.991	0.33425	protein binding	2221	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
RPL7	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.33307	0.03352	0	1	1	1	0.33307	protein binding	2221	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
RPL41	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.29892	0.01572	0	1	1	1	0.29892	protein binding	2221	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
ACTB	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.29463	0.02391	-0.004	0.996	0.996	1	0.29581	protein binding	2221	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
TUBA1A	early_v1	v1	ipc_early	ipc_v1	ipc	gw14	0.2856	0.0424	0	1	1	1	0.2856	protein binding	2221	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NR2F1	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.66705	0	0.333	1.70551	0.805	0.472	0.39111	protein binding	2221	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	RXR-like	TF	early_v1	early	v1
VIM	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.65391	0	0.286	1.66667	0.715	0.429	0.39235	protein binding	2221	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
SNRPN	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.58978	0	0.279	1.50912	0.827	0.548	0.39081	protein binding	2221	small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
COTL1	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.5414	0	0.259	1.54412	0.735	0.476	0.35062	protein binding	2221	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NNAT	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.54058	0	0.09	1.10056	0.985	0.895	0.49118	multicellular organism development	221	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	GO:0007275	The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).	biological_process	NA	non_TF	early_v1	early	v1
NFIX	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.51792	0	0.283	1.61255	0.745	0.462	0.32118	protein binding	2221	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	CTF/NFI	TF	early_v1	early	v1
MSMO1	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.49344	0	0.226	1.54854	0.638	0.412	0.31865	protein binding	2221	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:10545]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
RPS10	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.47421	0	0.147	1.18216	0.954	0.807	0.40114	protein binding	2221	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
ATP6V0E2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.46537	0	0.242	1.5721	0.665	0.423	0.29602	hydrolase activity	198	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	GO:0016787	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.	molecular_function	NA	non_TF	early_v1	early	v1
ACAT2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.4616	0	0.198	1.49132	0.601	0.403	0.30953	protein binding	2221	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NFIA	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.42783	0	0.172	1.22194	0.947	0.775	0.35013	DNA binding	343	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	GO:0003677	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function	CTF/NFI	TF	early_v1	early	v1
LHX2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.40645	0	0.213	1.32921	0.86	0.647	0.30578	protein binding	2221	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	Homeobox	TF	early_v1	early	v1
TCF4	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.39842	0	0.071	1.07701	0.993	0.922	0.36993	protein binding	2221	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	bHLH	TF	early_v1	early	v1
EMX1	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.39472	0	0.246	1.52903	0.711	0.465	0.25815	protein binding	2221	empty spiracles homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3340]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	Homeobox	TF	early_v1	early	v1
NDUFA11	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.39414	0	0.246	1.55034	0.693	0.447	0.25423	protein binding	2221	NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
FDFT1	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.38796	0	0.203	1.32689	0.824	0.621	0.29238	protein binding	2221	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
NDUFB8	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.38554	0	0.245	1.46139	0.776	0.531	0.26382	oxidation-reduction process	208	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_v1	early	v1
NKAIN3	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.37549	0	0.161	1.25884	0.783	0.622	0.29828	regulation of sodium ion transport	6	sodium/potassium transporting ATPase interacting 3 [Source:HGNC Symbol;Acc:HGNC:26829]	GO:0002028	Any process that modulates the frequency, rate or extent of the directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	biological_process	NA	non_TF	early_v1	early	v1
NDUFC2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.35996	0	0.2	1.28944	0.891	0.691	0.27916	oxidation-reduction process	208	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_v1	early	v1
GAP43	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.35976	0	0.183	1.42459	0.614	0.431	0.25254	protein binding	2221	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
FABP5	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.33534	0	0.074	1.08305	0.965	0.891	0.30962	protein binding	2221	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
RPL41	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.32702	0	0.034	1.03538	0.995	0.961	0.31585	protein binding	2221	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
HMGN2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.32642	0	0.113	1.14967	0.868	0.755	0.28393	protein binding	2221	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
SAT2	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.31661	0	0.168	1.23077	0.896	0.728	0.25724	protein binding	2221	spermidine/spermine N1-acetyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:23160]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
TUBB2A	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.28517	0	0.087	1.10223	0.938	0.851	0.25872	protein binding	2221	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
RPL26	early_v1	v1	ipc_early	ipc_v1	ipc	gw16	0.2538	0	0.011	1.01112	1	0.989	0.251	protein binding	2221	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_v1	early	v1
BCL11A	early_v1	v1	ipc_early	ipc_v1	ipc	gw17	6.15487	2e-5	0.767	4.835	0.967	0.2	1.27298	metal ion binding	430	BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221]	GO:0046872	Interacting selectively and non-covalently with any metal ion.	molecular_function	zf-C2H2	TF	early_v1	early	v1
TCF4	early_v1	v1	ipc_early	ipc_v1	ipc	gw17	3.01911	0.00179	0.6	2.5	1	0.4	1.20764	protein binding	2221	transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	bHLH	TF	early_v1	early	v1
RBP1	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.70619	0	0.266	1.88963	0.565	0.299	0.90292	protein binding	2221	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
DUT	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.64218	0	0.215	1.53218	0.619	0.404	1.07179	protein binding	2221	deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
BTG3	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.62422	0	0.255	2.01594	0.506	0.251	0.80569	protein binding	2221	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MDK	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.39048	0	0.201	1.39335	0.712	0.511	0.99794	protein binding	2221	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
GNG5	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.3855	0	0.243	1.63117	0.628	0.385	0.84939	protein binding	2221	G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
DBI	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.27388	0	0.199	1.49502	0.601	0.402	0.85208	identical protein binding	321	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	GO:0042802	Interacting selectively and non-covalently with an identical protein or proteins.	molecular_function	NA	non_TF	early_pfc	early	pfc
H2AFV	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.18479	0	0.201	1.56145	0.559	0.358	0.75878	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
GADD45G	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.16404	0	0.154	1.28205	0.7	0.546	0.90795	protein binding	2221	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
VIM	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.09265	0	0.11	1.22403	0.601	0.491	0.89267	protein binding	2221	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
PTN	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.06759	0	0.139	1.27416	0.646	0.507	0.83787	protein binding	2221	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
H2AFZ	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	1.01658	0	0.067	1.07511	0.959	0.892	0.94556	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
HIST1H4C	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.97261	0	0.055	1.0674	0.871	0.816	0.91119000000000006	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
FABP5	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.95338	0	0.045	1.05028	0.94	0.895	0.90774	protein binding	2221	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
GAPDH	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.93296	0	0.032	1.0332	0.996	0.964	0.90298	protein binding	2221	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
PRDX1	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.92954	0	0.053	1.05843	0.96	0.907	0.87822	protein binding	2221	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
NKAIN3	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.92672	0	0.157	1.44101	0.513	0.356	0.6431	regulation of sodium ion transport	6	sodium/potassium transporting ATPase interacting 3 [Source:HGNC Symbol;Acc:HGNC:26829]	GO:0002028	Any process that modulates the frequency, rate or extent of the directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	biological_process	NA	non_TF	early_pfc	early	pfc
HMGN2	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.92277	0	0.038	1.05855	0.687	0.649	0.87172	protein binding	2221	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
EEF1D	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.89674	0	0.053	1.07507	0.759	0.706	0.83412	protein binding	2221	eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
NDUFA6	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.85013	0	0.17	1.38117	0.616	0.446	0.61551	oxidation-reduction process	208	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
SERF2	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.8404	0	0.102	1.12977	0.888	0.786	0.74387	molecular_function	79	small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:HGNC:10757]	GO:0003674	A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.	molecular_function	NA	non_TF	early_pfc	early	pfc
GSTP1	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.81192	0	0.079	1.09599	0.902	0.823	0.74081	protein binding	2221	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
TPI1	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.80745	0	0.111	1.16642	0.778	0.667	0.69225	protein binding	2221	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
H1FX	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.79768	0	0.171	1.24675	0.864	0.693	0.63981	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
RAN	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.79026	0	0.078	1.09535	0.896	0.818	0.72146	protein binding	2221	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
ENY2	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.78461	0	0.148	1.32385	0.605	0.457	0.59267	protein binding	2221	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
CSRP2	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.76902	0	0.102	1.13195	0.875	0.773	0.67937	protein binding	2221	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
TMEM158	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.72154	0	0.097	1.20682	0.566	0.469	0.59788	peptide binding	12	transmembrane protein 158 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30293]	GO:0042277	Interacting selectively and non-covalently with peptides, any of a group of organic compounds comprising two or more amino acids linked by peptide bonds.	molecular_function	NA	non_TF	early_pfc	early	pfc
UBE2E3	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.7161	0	0.146	1.24621	0.739	0.593	0.57462	protein binding	2221	ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SUB1	early_pfc	pfc	neuron_early	neuron_pfc	neuron	gw16	0.70259	0	0.082	1.10111	0.893	0.811	0.63807	protein binding	2221	SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	PC4	TF	early_pfc	early	pfc
