gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
KLF6	pfc	neuron	gw22	1.00597	0	0.31	2.1439	0.581	0.271	0.46922
ATP8A2	pfc	neuron	gw22	0.98713	0	0.188	3.08885	0.278	0.09	0.31958
AC004158.3	pfc	neuron	gw22	0.96393	0	0.253	2.82012	0.392	0.139	0.3418
WDR60	pfc	neuron	gw22	0.9604	0	0.19	3.34564	0.271	0.081	0.28706
RALA	pfc	neuron	gw22	0.90337	0	0.291	2.341	0.508	0.217	0.38589
CTNNBL1	pfc	neuron	gw22	0.83694	0	0.206	2.94337	0.312	0.106	0.28435
PALMD	pfc	neuron	gw22	0.83573	0	0.218	2.3212	0.383	0.165	0.36004
HMP19	pfc	neuron	gw22	0.78396	0	0.335	1.63207	0.865	0.53	0.48035
LDB2	pfc	neuron	gw22	0.76317	0	0.309	2.34933	0.538	0.229	0.32484
MED19	pfc	neuron	gw22	0.75955	0	0.22	2.74601	0.346	0.126	0.2766
ARPP21	pfc	neuron	gw22	0.7442	0	0.337	1.71398	0.809	0.472	0.43419
RTF1	pfc	neuron	gw22	0.74302	0	0.361	1.90932	0.758	0.397	0.38916
FXYD7	pfc	neuron	gw22	0.73722	0	0.181	2.5877	0.295	0.114	0.28489
CMAS	pfc	neuron	gw22	0.72431	0	0.213	2.82049	0.33	0.117	0.2568
NFIA	pfc	neuron	gw22	0.72119	0	0.363	2.07396	0.701	0.338	0.34774
CALM1	pfc	neuron	gw22	0.71708	0	0.11	1.12702	0.976	0.866	0.63626
CXXC4	pfc	neuron	gw22	0.71339	0	0.234	2.77271	0.366	0.132	0.25729
ZNF428	pfc	neuron	gw22	0.69584	0	0.369	2.22591	0.67	0.301	0.31261
PTPRO	pfc	neuron	gw22	0.68711	0	0.212	2.63075	0.342	0.13	0.26118
PABPC1	pfc	neuron	gw22	0.68698	0	0.324	1.675	0.804	0.48	0.41014
SYT4	pfc	neuron	gw22	0.6867	0	0.3	1.71428	0.72	0.42	0.40058
MEG3	pfc	neuron	gw22	0.68563	0	0.301	1.48627	0.92	0.619	0.46131
DRAXIN	pfc	neuron	gw22	0.68202	0	0.236	2.3801	0.407	0.171	0.28655
KCNQ1OT1	pfc	neuron	gw22	0.66054	0	0.265	1.93309	0.549	0.284	0.3417
ELAVL4	pfc	neuron	gw22	0.64704	0	0.285	2.17283	0.528	0.243	0.29779
GRB2	pfc	neuron	gw22	0.62994000000000006	0	0.297	2.07219	0.574	0.277	0.304
ADGRL3	pfc	neuron	gw22	0.62632	0	0.231	2.34301	0.403	0.172	0.26731
SNAP25	pfc	neuron	gw22	0.61809	0	0.3	1.81743	0.667	0.367	0.34009
SCG2	pfc	neuron	gw22	0.6166	0	0.212	2.36773	0.367	0.155	0.26042
FAM127A	pfc	neuron	gw22	0.61417	0	0.227	2.32747	0.398	0.171	0.26388
BDP1	pfc	neuron	gw22	0.6047	0	0.275	1.95818	0.562	0.287	0.30881
TUBB4A	pfc	neuron	gw22	0.59565	0	0.234	2.32953	0.41	0.176	0.2557
CLMP	pfc	neuron	gw22	0.59306	0	0.214	2.26626	0.383	0.169	0.26169
HP1BP3	pfc	neuron	gw22	0.57797	0	0.3	2.00334	0.599	0.299	0.2885
EIF5	pfc	neuron	gw22	0.57347	0	0.285	2.17768	0.527	0.242	0.26334
CMC2	pfc	neuron	gw22	0.57242	0	0.225	2.24999	0.405	0.18	0.25441
RPL13	pfc	neuron	gw22	0.57189	0	0.369	1.63077	0.954	0.585	0.35069
ELAVL3	pfc	neuron	gw22	0.57027	0	0.308	1.87999	0.658	0.35	0.30334
NCOA1	pfc	neuron	gw22	0.56703	0	0.225	2.2162	0.41	0.185	0.25586
YWHAB	pfc	neuron	gw22	0.55842	0	0.277	1.52862	0.801	0.524	0.36531
SRPK1	pfc	neuron	gw22	0.5559	0	0.198	2.17856	0.366	0.168	0.25517
PGM2L1	pfc	neuron	gw22	0.55162	0	0.302	1.76455	0.697	0.395	0.31261
PCLO	pfc	neuron	gw22	0.54518	0	0.265	1.97785	0.536	0.271	0.27564
ZC3H13	pfc	neuron	gw22	0.54204	0	0.273	1.87781	0.584	0.311	0.28866000000000003
PAFAH1B1	pfc	neuron	gw22	0.54192	0	0.252	1.98054	0.509	0.257	0.27362
MAPT	pfc	neuron	gw22	0.53735	0	0.257	1.40923	0.885	0.628	0.38131
TMEM35	pfc	neuron	gw22	0.52951	0	0.254	2.06275	0.493	0.239	0.2567
FAM213A	pfc	neuron	gw22	0.52843	0	0.309	1.80259	0.694	0.385	0.29315
CRIP2	pfc	neuron	gw22	0.526	0	0.274	1.85093	0.596	0.322	0.28418
HBA2	pfc	neuron	gw22	0.52296	1.1e-4	0.034	1.40475	0.118	0.084	0.37228
RUNX1T1	pfc	neuron	gw22	0.51432	0	0.301	1.71666	0.721	0.42	0.2996
ANK3	pfc	neuron	gw22	0.51316	0	0.292	1.8957	0.618	0.326	0.2707
TUBB2A	pfc	neuron	gw22	0.50937	0	0.234	1.32455	0.955	0.721	0.38456
GRIN2B	pfc	neuron	gw22	0.50689	0	0.276	1.92307	0.575	0.299	0.26359
SQLE	pfc	neuron	gw22	0.50186	0	0.284	1.76756	0.654	0.37	0.28393
SARAF	pfc	neuron	gw22	0.49722	0	0.336	1.93074	0.697	0.361	0.25753
MYT1L	pfc	neuron	gw22	0.4972	0	0.254	1.42475	0.852	0.598	0.34897
ATP6V0E2	pfc	neuron	gw22	0.48453	0	0.262	1.90657	0.551	0.289	0.25414
PPDPF	pfc	neuron	gw22	0.47805	0	0.274	1.45289	0.879	0.605	0.32903
SRPK2	pfc	neuron	gw22	0.47179	0	0.266	1.73888	0.626	0.36	0.27132
SRGAP1	pfc	neuron	gw22	0.46214	0	0.267	1.83962	0.585	0.318	0.25121
ZEB2	pfc	neuron	gw22	0.441	0	0.289	1.52166	0.843	0.554	0.28982
CBX1	pfc	neuron	gw22	0.43387	0	0.263	1.64619	0.67	0.407	0.26356
CEP170	pfc	neuron	gw22	0.42062	0	0.272	1.5132	0.802	0.53	0.27797
LIMCH1	pfc	neuron	gw22	0.41883	0	0.268	1.59955	0.715	0.447	0.26184
SHTN1	pfc	neuron	gw22	0.40121	0	0.26	1.46678	0.817	0.557	0.27353
C9orf16	pfc	neuron	gw22	0.39215	0	0.259	1.52429	0.753	0.494	0.25727
CSRP2	pfc	neuron	gw22	0.38772	0	0.135	1.16504	0.953	0.818	0.3328
NCAM1	pfc	neuron	gw22	0.38371	0	0.258	1.45342	0.827	0.569	0.264
MT-ND1	pfc	neuron	gw22	0.37337	0	0.052	1.0552	0.994	0.942	0.35383
MT-ND2	pfc	neuron	gw22	0.3525	0	0.039	1.04075	0.996	0.957	0.3387
CD24	pfc	neuron	gw22	0.33991	0	0.131	1.15745	0.963	0.832	0.29367
STMN2	pfc	neuron	gw22	0.33747	0	0.001	1.001	0.999	0.998	0.33713
TUBB2B	pfc	neuron	gw22	0.33087	0	0.002	1.002	1	0.998	0.33021
EEF1A1	pfc	neuron	gw22	0.30539	0	0	1	0.999	0.999	0.30539
RTN1	pfc	neuron	gw22	0.2762	0	0.062	1.06732	0.983	0.921	0.25878
RP5-827C21.6	pfc	neuron	gw22t	102.24487	1	0.124	124.87512	0.125	0.001	0.81878
TUBA4A	pfc	neuron	gw22t	11.44241	1	0.118	17.85459	0.125	0.007	0.64087
GABRA5	pfc	neuron	gw22t	11.04097	0.07915	0.222	8.92825	0.25	0.028	1.23663
ZNF410	pfc	neuron	gw22t	10.97414	1	0.121	31.24219	0.125	0.004	0.35126
DUSP22	pfc	neuron	gw22t	8.16346	1	0.109	7.81201	0.125	0.016	1.04499
RRS1	pfc	neuron	gw22t	8.02421	1	0.114	11.3626	0.125	0.011	0.70619
GDA	pfc	neuron	gw22t	7.63505	0.89784	0.257	8.34262	0.292	0.035	0.91519
PCP4	pfc	neuron	gw22t	6.3831	0.28898	0.335	3.72355	0.458	0.123	1.71425
GAL3ST4	pfc	neuron	gw22t	6.06631	1	0.11	8.33278	0.125	0.015	0.72801
TPD52	pfc	neuron	gw22t	5.13927	1	0.177	6.70946	0.208	0.031	0.76597
TMEM91	pfc	neuron	gw22t	4.46953	1	0.148	8.78901	0.167	0.019	0.50854
ASIC2	pfc	neuron	gw22t	4.33341	1	0.201	5.10194	0.25	0.049	0.84936
LPCAT1	pfc	neuron	gw22t	4.32277	1	0.233	4.94907	0.292	0.059	0.87345
KDM1B	pfc	neuron	gw22t	4.28518	1	0.139	5.96407	0.167	0.028	0.7185
SYNPR	pfc	neuron	gw22t	4.18935	1	0.177	6.70946	0.208	0.031	0.6244
DIRAS2	pfc	neuron	gw22t	4.08856	1	0.144	7.26055	0.167	0.023	0.56312
CAMK2D	pfc	neuron	gw22t	4.0198	1	0.195	4.54537	0.25	0.055	0.88437
HIPK3	pfc	neuron	gw22t	4.00818	1	0.138	5.75842	0.167	0.029	0.69606
CYSTM1	pfc	neuron	gw22t	3.70108	0.76199	0.241	3.61953	0.333	0.092	1.02253
RNF103	pfc	neuron	gw22t	3.45551	1	0.084	3.04871	0.125	0.041	1.13344
CALY	pfc	neuron	gw22t	3.4277	1	0.145	7.59056	0.167	0.022	0.45157
SMIM13	pfc	neuron	gw22t	3.36669	1	0.182	3.67642	0.25	0.068	0.91575
C18orf25	pfc	neuron	gw22t	3.33549	1	0.137	5.56648	0.167	0.03	0.59921
KLHL36	pfc	neuron	gw22t	3.31344	1	0.163	4.62212	0.208	0.045	0.71687
FXR2	pfc	neuron	gw22t	3.18266	1	0.087	3.28939	0.125	0.038	0.96755
RP11-410L14.2	pfc	neuron	gw22t	3.15508	1	0.112	3.03631	0.167	0.055	1.03912
FOXK1	pfc	neuron	gw22t	2.99067	1	0.124	2.47616	0.208	0.084	1.20778
STARD4	pfc	neuron	gw22t	2.96612	1	0.13	4.51339	0.167	0.037	0.65718
EAF1	pfc	neuron	gw22t	2.9066	1	0.121	3.63036	0.167	0.046	0.80064
ISOC1	pfc	neuron	gw22t	2.84256	1	0.083	2.97612	0.125	0.042	0.95512
RHOT1	pfc	neuron	gw22t	2.82577	1	0.138	2.97139	0.208	0.07	0.95099
AGAP3	pfc	neuron	gw22t	2.73826	1	0.149	3.52536	0.208	0.059	0.77673
KLF3	pfc	neuron	gw22t	2.64007	1	0.09	3.57133	0.125	0.035	0.73924
EFNA5	pfc	neuron	gw22t	2.54693	1	0.185	3.84609	0.25	0.065	0.66221
IFT80	pfc	neuron	gw22t	2.47565	1	0.089	3.47213	0.125	0.036	0.71301
DIP2C	pfc	neuron	gw22t	2.41582	1	0.137	2.92954	0.208	0.071	0.82464
ATP2A2	pfc	neuron	gw22t	2.40689	0.75051	0.171	2.05554	0.333	0.162	1.17092
MT3	pfc	neuron	gw22t	2.40145	1	0.145	2.38093	0.25	0.105	1.00862
SNHG9	pfc	neuron	gw22t	2.34749	1	0.149	2.47522	0.25	0.101	0.9484
SRSF2	pfc	neuron	gw22t	2.34682	1	0.181	2.63061	0.292	0.111	0.89212
BCL11B	pfc	neuron	gw22t	2.30128	1	0.195	3.01028	0.292	0.097	0.76447
RAP1GAP2	pfc	neuron	gw22t	2.2878	1	0.109	2.87926	0.167	0.058	0.79458
RBM24	pfc	neuron	gw22t	2.19846	1	0.084	3.04871	0.125	0.041	0.72111
AKTIP	pfc	neuron	gw22t	2.19448	1	0.178	3.47217	0.25	0.072	0.63202
TSC22D3	pfc	neuron	gw22t	2.18302	1	0.106	2.0392	0.208	0.102	1.07053
CXXC4	pfc	neuron	gw22t	2.16879	1	0.218	1.90833	0.458	0.24	1.13649
TUSC3	pfc	neuron	gw22t	2.14137	1	0.217	2.87066	0.333	0.116	0.74595
CALB2	pfc	neuron	gw22t	2.13349	1	0.101	2.53026	0.167	0.066	0.84319
CCSAP	pfc	neuron	gw22t	2.12365	1	0.14	2.27271	0.25	0.11	0.93442
MRAS	pfc	neuron	gw22t	2.03065	1	0.062	1.9841	0.125	0.063	1.02347
DCK	pfc	neuron	gw22t	2.02527	1	0.135	2.84928	0.208	0.073	0.7108
B3GAT2	pfc	neuron	gw22t	2.01839	1	0.184	2.23488	0.333	0.149	0.90313
PSD3	pfc	neuron	gw22t	2.01614	1	0.307	2.30637	0.542	0.235	0.87416
STMN3	pfc	neuron	gw22t	2.01436	0.55374	0.157	1.89203	0.333	0.176	1.06465
PIGX	pfc	neuron	gw22t	2.00788	1	0.07	2.27269	0.125	0.055	0.88348
CSNK1G1	pfc	neuron	gw22t	1.9781	1	0.075	2.49995	0.125	0.05	0.79125
GLRA2	pfc	neuron	gw22t	1.94792	1	0.1	1.92591	0.208	0.108	1.01143
ACSL3	pfc	neuron	gw22t	1.91016	1	0.173	1.85643	0.375	0.202	1.02895
GGH	pfc	neuron	gw22t	1.86896	1	0.139	2.25223	0.25	0.111	0.82983
B3GALNT1	pfc	neuron	gw22t	1.85898	1	0.113	1.8248	0.25	0.137	1.01873
NECAB1	pfc	neuron	gw22t	1.80832	0.01202	0.099	1.51295	0.292	0.193	1.19523
IFIT5	pfc	neuron	gw22t	1.78611	1	0.131	2.70126	0.208	0.077	0.66121
CYB5R3	pfc	neuron	gw22t	1.74538	1	0.116	1.86566	0.25	0.134	0.93553
FAM171B	pfc	neuron	gw22t	1.73529	1	0.158	2.17909	0.292	0.134	0.79634
KIF5B	pfc	neuron	gw22t	1.70664	1	0.125	1.99998	0.25	0.125	0.85333
NDRG4	pfc	neuron	gw22t	1.69991	0.61851	0.175	1.87499	0.375	0.2	0.90662
UBE2W	pfc	neuron	gw22t	1.68871	1	0.163	1.95881	0.333	0.17	0.86211
MED13L	pfc	neuron	gw22t	1.66247	1	0.143	1.95972	0.292	0.149	0.84832
ITGB1	pfc	neuron	gw22t	1.65732	1	0.073	2.4038	0.125	0.052	0.68946
ATP1B1	pfc	neuron	gw22t	1.64027	1	0.246	1.64907	0.625	0.379	0.99466
WDR60	pfc	neuron	gw22t	1.62257	1	0.073	2.4038	0.125	0.052	0.675
PGAP1	pfc	neuron	gw22t	1.56437	1	0.175	2.10758	0.333	0.158	0.74226
ATP5I	pfc	neuron	gw22t	1.55953	1.7e-4	0.166	1.19904	1	0.834	1.30065
UBE2B	pfc	neuron	gw22t	1.54337	1	0.221	1.93248	0.458	0.237	0.79865
EXOC5	pfc	neuron	gw22t	1.53465	1	0.186	1.98412	0.375	0.189	0.77347
ITFG1	pfc	neuron	gw22t	1.52998	1	0.126	1.75903	0.292	0.166	0.86979
EXTL2	pfc	neuron	gw22t	1.52318	1	0.078	1.87638	0.167	0.089	0.81177
CD47	pfc	neuron	gw22t	1.51466	1	0.217	1.76678	0.5	0.283	0.8573
CNOT7	pfc	neuron	gw22t	1.48894	0.03944	0.315	1.66037	0.792	0.477	0.89675
PRKAR1A	pfc	neuron	gw22t	1.46588	0.2401	0.135	1.56249	0.375	0.24	0.93817
FAM126B	pfc	neuron	gw22t	1.46083	1	0.093	1.80868	0.208	0.115	0.80768
AZIN1	pfc	neuron	gw22t	1.45834	0.00411	0.095	1.39915	0.333	0.238	1.0423
GABRB2	pfc	neuron	gw22t	1.44578	1	0.162	1.94736	0.333	0.171	0.74243
FNIP2	pfc	neuron	gw22t	1.43228	1	0.129	1.7914	0.292	0.163	0.79953
MANF	pfc	neuron	gw22t	1.42504	1	0.063	2.0161	0.125	0.062	0.70683
ACSL4	pfc	neuron	gw22t	1.41784	1	0.085	1.69104	0.208	0.123	0.83844
CTNND2	pfc	neuron	gw22t	1.40026	1	0.104	1.55318	0.292	0.188	0.90154
UQCR10	pfc	neuron	gw22t	1.39735	3e-5	0.151	1.18711	0.958	0.807	1.1771
UBL3	pfc	neuron	gw22t	1.35918	1	0.087	1.71899	0.208	0.121	0.79068
TCAF1	pfc	neuron	gw22t	1.35237	1	0.144	1.62337	0.375	0.231	0.83306
SMU1	pfc	neuron	gw22t	1.34801	1	0.048	1.62336	0.125	0.077	0.83039
TSHZ3	pfc	neuron	gw22t	1.3479	1	0.06	1.56073	0.167	0.107	0.86363
SARAF	pfc	neuron	gw22t	1.34725	1	0.14	1.44025	0.458	0.318	0.93543
PPP1CB	pfc	neuron	gw22t	1.3098	1	0.252	1.55263	0.708	0.456	0.8436
C8orf59	pfc	neuron	gw22t	1.30784	1	0.15	1.66666	0.375	0.225	0.78471
ROMO1	pfc	neuron	gw22t	1.3037	0.26144	0.201	1.43133	0.667	0.466	0.91083
TLE4	pfc	neuron	gw22t	1.29332	1	0.124	1.49402	0.375	0.251	0.86566
ARL6IP1	pfc	neuron	gw22t	1.26931	0.04258	0.115	1.1811	0.75	0.635	1.07468
ROBO1	pfc	neuron	gw22t	1.26928	1	0.122	1.57819	0.333	0.211	0.80426
SPCS3	pfc	neuron	gw22t	1.26638	1	0.045	1.56248	0.125	0.08	0.81049
PTN	pfc	neuron	gw22t	1.26552	1	0.188	1.60256	0.5	0.312	0.78969
C6orf62	pfc	neuron	gw22t	1.22406	1	0.087	1.53373	0.25	0.163	0.79809
RAC1	pfc	neuron	gw22t	1.22289	1	0.081	1.38388	0.292	0.211	0.88367
EFR3B	pfc	neuron	gw22t	1.20667	1	0.132	1.82499	0.292	0.16	0.66119000000000006
NDUFA1	pfc	neuron	gw22t	1.19743	0.0037200000000000002	0.185	1.26811	0.875	0.69	0.94426
CLCN3	pfc	neuron	gw22t	1.19281	1	0.079	1.37089	0.292	0.213	0.8701
PLPPR1	pfc	neuron	gw22t	1.18102	1	0.178	1.74476	0.417	0.239	0.67689
NPY1R	pfc	neuron	gw22t	1.17389	1	0.074	1.55223	0.208	0.134	0.75626
REEP5	pfc	neuron	gw22t	1.17099	1	0.054	1.2755	0.25	0.196	0.91806
NDUFA6	pfc	neuron	gw22t	1.16743	0.14291	0.053	1.13086	0.458	0.405	1.03234
TOMM70A	pfc	neuron	gw22t	1.16142	1	0.045	1.56248	0.125	0.08	0.74332
ENSA	pfc	neuron	gw22t	1.13327	1	0.08	1.3162	0.333	0.253	0.86102
XPO1	pfc	neuron	gw22t	1.11676	0.08794	0.04	1.19047	0.25	0.21	0.93808
TM9SF3	pfc	neuron	gw22t	1.11493	1	0.054	1.47786	0.167	0.113	0.75442
LIN7B	pfc	neuron	gw22t	1.10842	1	0.032	1.34407	0.125	0.093	0.82467
UQCC2	pfc	neuron	gw22t	1.0908	1	0.135	1.56249	0.375	0.24	0.69812
DCTN4	pfc	neuron	gw22t	1.087	1	0.052	1.33332	0.208	0.156	0.81526
TMEM14A	pfc	neuron	gw22t	1.06912	0.12331	0.122	1.19427	0.75	0.628	0.89521
USMG5	pfc	neuron	gw22t	1.06774	0.34832	0.16	1.2005	0.958	0.798	0.88941
SHOC2	pfc	neuron	gw22t	1.0321	1	0.033	1.07764	0.458	0.425	0.95774
TIMM10	pfc	neuron	gw22t	1.0233	1	0.04	1.31495	0.167	0.127	0.7782
MYEOV2	pfc	neuron	gw22t	1.02263	5.8e-4	-0.017	0.97655	0.708	0.725	1.04719
VTA1	pfc	neuron	gw22t	1.01878	0.16111	0.04	1.15873	0.292	0.252	0.87922
NDUFV2	pfc	neuron	gw22t	1.00957	1	0.136	1.30425	0.583	0.447	0.77407
MDH1	pfc	neuron	gw22t	1.00905	1	0.068	1.17436	0.458	0.39	0.85924
BTBD10	pfc	neuron	gw22t	1.00534	0.58871	0.021	1.11229	0.208	0.187	0.90384
PCBP1	pfc	neuron	gw22t	0.99758	1	0.134	1.32843	0.542	0.408	0.75095
HPRT1	pfc	neuron	gw22t	0.99133	1	0.037	1.28461	0.167	0.13	0.7717
PNKD	pfc	neuron	gw22t	0.98968	1	0.124	1.49402	0.375	0.251	0.66243
HNRNPM	pfc	neuron	gw22t	0.97527	1	0.118	1.39464	0.417	0.299	0.6993
SEP15	pfc	neuron	gw22t	0.97278	1	0.059	1.25321	0.292	0.233	0.77623
PKIA	pfc	neuron	gw22t	0.97	1	0.09	1.37036	0.333	0.243	0.70784
BASP1	pfc	neuron	gw22t	0.96654	1	0.225	1.39682	0.792	0.567	0.69195
FAR1	pfc	neuron	gw22t	0.96411	1	0.041	1.48808	0.125	0.084	0.64789
SLIRP	pfc	neuron	gw22t	0.96052	0.00156	0.02	1.03091	0.667	0.647	0.93172
LARP1	pfc	neuron	gw22t	0.95853	1	0.036	1.2748	0.167	0.131	0.75191
PFDN4	pfc	neuron	gw22t	0.94667	0.2509	0.075	1.11111	0.75	0.675	0.852
CDKL5	pfc	neuron	gw22t	0.93593	0.63082	-0.004	0.96898	0.125	0.129	0.96589
MAP6	pfc	neuron	gw22t	0.91963	1	0.033	1.15207	0.25	0.217	0.79824
UBE2I	pfc	neuron	gw22t	0.9113	1	0.105	1.33653	0.417	0.312	0.68184
POLR2L	pfc	neuron	gw22t	0.90775	0.16191	0.067	1.10452	0.708	0.641	0.82185
COX20	pfc	neuron	gw22t	0.90705	1	0.192	1.44341	0.625	0.433	0.62841
LMO3	pfc	neuron	gw22t	0.90638	1	0.168	1.28866	0.75	0.582	0.70335
ST6GAL2	pfc	neuron	gw22t	0.89217	1	0.023	1.22548	0.125	0.102	0.72802
TMED2	pfc	neuron	gw22t	0.87926	1	0.121	1.47637	0.375	0.254	0.59555
CDC37L1	pfc	neuron	gw22t	0.86772	1	0.035	1.26514	0.167	0.132	0.68587
ELAVL4	pfc	neuron	gw22t	0.86615	1	0.103	1.37867	0.375	0.272	0.62825
CAPRIN1	pfc	neuron	gw22t	0.86424	1	0.077	1.44508	0.25	0.173	0.59806
MRPS15	pfc	neuron	gw22t	0.85848	1	0.003	1.01829	0.167	0.164	0.84306
TERF2IP	pfc	neuron	gw22t	0.84882	1	0.075	1.34562	0.292	0.217	0.6308
PGM2L1	pfc	neuron	gw22t	0.84668	1	0.027	1.06264	0.458	0.431	0.79677
POLK	pfc	neuron	gw22t	0.84483	1	0.03	1.31578	0.125	0.095	0.64208
ATP9A	pfc	neuron	gw22t	0.83872	1	0.076	1.35185	0.292	0.216	0.62043
TNRC6C	pfc	neuron	gw22t	0.83706	1	0.006	1.03726	0.167	0.161	0.80699
SEC63	pfc	neuron	gw22t	0.83197	1	0.075	1.42856	0.25	0.175	0.58238
BEX5	pfc	neuron	gw22t	0.82818	1	0.091	1.14749	0.708	0.617	0.72173
MANBAL	pfc	neuron	gw22t	0.82808	0.32435	-0.03	0.80645	0.125	0.155	1.02683
YWHAG	pfc	neuron	gw22t	0.82157	0.15907	0.071	1.11146	0.708	0.637	0.73918
CCND2	pfc	neuron	gw22t	0.82079	1	0.04	1.19047	0.25	0.21	0.68947
NDUFB2	pfc	neuron	gw22t	0.81868	0.43849	0.036	1.04762	0.792	0.756	0.78147
ATP5J2	pfc	neuron	gw22t	0.81763	1	0.129	1.1481	1	0.871	0.71215
NDUFA3	pfc	neuron	gw22t	0.81741	1	0.106	1.17608	0.708	0.602	0.69503
LAPTM4A	pfc	neuron	gw22t	0.81309	1	0.112	1.28866	0.5	0.388	0.63096
BRWD1	pfc	neuron	gw22t	0.80582	1	0.009	1.05696	0.167	0.158	0.7624
COMMD9	pfc	neuron	gw22t	0.79792	1	0.039	1.23076	0.208	0.169	0.64832
TIMM44	pfc	neuron	gw22t	0.79675	1	0.021	1.14383	0.167	0.146	0.69657
MVD	pfc	neuron	gw22t	0.79445	1	0.054	1.22689	0.292	0.238	0.64753
NBEA	pfc	neuron	gw22t	0.78771	1	0.161	1.47492	0.5	0.339	0.53407
MGEA5	pfc	neuron	gw22t	0.78698	1	0.062	1.22878	0.333	0.271	0.64046
FABP3	pfc	neuron	gw22t	0.78465	1	0.048	1.14679	0.375	0.327	0.68421
PDHA1	pfc	neuron	gw22t	0.77671	1	0.015	1.06383	0.25	0.235	0.73011
ATP1A1	pfc	neuron	gw22t	0.77456	1	0.038	1.29456	0.167	0.129	0.59832
ANAPC5	pfc	neuron	gw22t	0.75894	0.63477	-0.025	0.8927	0.208	0.233	0.85017
GPM6B	pfc	neuron	gw22t	0.75182	1	0.067	1.21753	0.375	0.308	0.6175
TMA7	pfc	neuron	gw22t	0.74861	0.88681	0.066	1.07066	1	0.934	0.69921
DPM1	pfc	neuron	gw22t	0.74285	1	-0.002	0.98424	0.125	0.127	0.75474
ACTR3	pfc	neuron	gw22t	0.73985	1	0.037	1.10946	0.375	0.338	0.66685
ATP5J	pfc	neuron	gw22t	0.73863	1	0.025	1.02941	0.875	0.85	0.71752
GRIA2	pfc	neuron	gw22t	0.73324	1	0.022	1.07074	0.333	0.311	0.6848
TOX3	pfc	neuron	gw22t	0.73194	1	0.016	1.14678	0.125	0.109	0.63826
TSPO	pfc	neuron	gw22t	0.7285	1	0.021	1.11229	0.208	0.187	0.65495
RUNDC3B	pfc	neuron	gw22t	0.72545	1	0.001	1.00806	0.125	0.124	0.71965
UQCRQ	pfc	neuron	gw22t	0.72436	1	0.009	1.01092	0.833	0.824	0.71654
SNRPN	pfc	neuron	gw22t	0.72045	1	0.06	1.10619	0.625	0.565	0.65129
MED21	pfc	neuron	gw22t	0.72011	1	0.02	1.07353	0.292	0.272	0.67079
ANAPC16	pfc	neuron	gw22t	0.71861	1	0.034	1.1574	0.25	0.216	0.62089
CCNI	pfc	neuron	gw22t	0.71711	1	0.121	1.19237	0.75	0.629	0.60142
NDUFB1	pfc	neuron	gw22t	0.71656	1	0.041	1.05459	0.792	0.751	0.67947
RIMKLB	pfc	neuron	gw22t	0.71555	1	0.048	1.23762	0.25	0.202	0.57817
ATP1A3	pfc	neuron	gw22t	0.71117	1	-0.007	0.95976	0.167	0.174	0.74099
AKAP7	pfc	neuron	gw22t	0.70999	1	0.03	1.07752	0.417	0.387	0.65892
CLASP2	pfc	neuron	gw22t	0.70564	1	0.035	1.08274	0.458	0.423	0.65172
HBG2	pfc	neuron	gw22t	0.7047	2e-5	-0.093	0.31111	0.042	0.135	2.26511
DDT	pfc	neuron	gw22t	0.70043	1	0.024	1.07767	0.333	0.309	0.64995
NDUFS3	pfc	neuron	gw22t	0.67504	1	0.069	1.19827	0.417	0.348	0.56335
MGST3	pfc	neuron	gw22t	0.67433	0.19644	-0.086	0.87145	0.583	0.669	0.7738
MRFAP1L1	pfc	neuron	gw22t	0.67412	1	-0.016	0.91256	0.167	0.183	0.73871
NDUFB6	pfc	neuron	gw22t	0.67151	1	0.068	1.1574	0.5	0.432	0.58019
IPO7	pfc	neuron	gw22t	0.67047	1	0.031	1.17513	0.208	0.177	0.57054
COX7B	pfc	neuron	gw22t	0.6689	1	-0.002	0.99718	0.708	0.71	0.67079
TCEB2	pfc	neuron	gw22t	0.66874	1	0.014	1.01626	0.875	0.861	0.65805
ATPIF1	pfc	neuron	gw22t	0.65923	1	-0.015	0.97925	0.708	0.723	0.6732
LCMT1	pfc	neuron	gw22t	0.65741	1	0.019	1.10052	0.208	0.189	0.59736
ATP5E	pfc	neuron	gw22t	0.65476	1	0.017	1.01729	1	0.983	0.64363
RAB14	pfc	neuron	gw22t	0.64558	1	-0.01	0.96153	0.25	0.26	0.6714
NDUFA4	pfc	neuron	gw22t	0.6435	0.01636	-0.093	0.90392	0.875	0.968	0.71189
COX6B1	pfc	neuron	gw22t	0.6407	2.3e-4	-0.141	0.82549	0.667	0.808	0.77614
TCEB1	pfc	neuron	gw22t	0.64039	1	-0.034	0.94489	0.583	0.617	0.67774
BMPR2	pfc	neuron	gw22t	0.63998	1	-0.013	0.95057	0.25	0.263	0.67327
PRPF38B	pfc	neuron	gw22t	0.63995	1	-0.001	0.99404	0.167	0.168	0.64379
C14orf2	pfc	neuron	gw22t	0.63985	0.14878	-0.065	0.92762	0.833	0.898	0.68978
TMEM258	pfc	neuron	gw22t	0.63526	1	0.112	1.17555	0.75	0.638	0.54039
BOLA3	pfc	neuron	gw22t	0.63467	1	0.04	1.19047	0.25	0.21	0.53313
