gene	individual	area	region	stage	cell_type	p_val_adj	avg_logfc	gene.score	enrichment_ratio	pct.1	pct.2
AFF3	gw18	pfc	pfc	mid	ipc	0	0.32013	0.50929	1.5909	0.245	0.154
AGAP1	gw18	parietal	msp	mid	neuron	0	0.45278	0.81268	1.79487	0.42	0.234
AGAP1	gw18	temporal	temporal	mid	neuron	0	0.32661	0.57505	1.76068	0.412	0.234
AK1	gw18	pfc	pfc	mid	ipc	0	0.29164	0.3833	1.31429	0.322	0.245
AKAP12	gw18	v1	v1	mid	neuron	0	0.33874	0.72919	2.15263	0.409	0.19
AKAP12	gw18	pfc	pfc	mid	rg	0	0.70397	1.00671	1.43005	0.828	0.579
AKAP12	gw18	pfc	pfc	mid	ipc	0	0.28208	0.44936	1.593	0.137	0.086
AKAP7	gw18	v1	v1	mid	neuron	0	0.3424	0.528	1.54206	0.66	0.428
AKIRIN1	gw18	pfc	pfc	mid	rg	0	0.35696	0.83133	2.32895	0.354	0.152
AKIRIN1	gw18	pfc	pfc	mid	ipc	0	0.28298	0.59466	2.10142	0.145	0.069
AKIRIN2	gw18	v1	v1	mid	ipc	0	0.27418	0.6485	2.36522	0.272	0.115
AKIRIN2	gw18	v1	v1	mid	neuron	0	0.25451	0.68399	2.6875	0.258	0.096
AKIRIN2	gw18	v1	v1	mid	rg	0	0.44699	2.19919	4.92	0.369	0.075
AKR7A2	gw18	pfc	pfc	mid	rg	0	0.78551	8.02344	10.21429	0.429	0.042
AKT3	gw18	parietal	msp	mid	ipc	0.00107	0.3534	0.47193	1.3354	0.43	0.322
AKT3	gw18	parietal	msp	mid	neuron	0	0.40179	0.594	1.47838	0.547	0.37
ALDH2	gw18	v1	v1	mid	rg	0	0.49355	2.03113	4.11538	0.428	0.104
ALDH3A2	gw18	v1	v1	mid	rg	0	0.30087	0.68184	2.26623	0.349	0.154
ALDH9A1	gw18	v1	v1	mid	rg	0	0.31852	0.52513	1.64865	0.549	0.333
ALDOC	gw18	v1	v1	mid	rg	0	0.49413	1.19012	2.40854	0.395	0.164
ALKBH7	gw18	pfc	pfc	mid	ipc	0	0.33388	0.46113	1.38112	0.395	0.286
ALKBH7	gw18	motor	msp	mid	neuron	6e-5	0.28165	0.27605	0.98012	0.493	0.503
ALKBH7	gw18	pfc	pfc	mid	rg	0	0.67228	1.60271	2.384	0.596	0.25
ALKBH7	gw18	v1	v1	mid	rg	0	0.37422	0.9549	2.55172	0.518	0.203
AMN1	gw18	motor	msp	mid	ipc	0.09291	0.43323	1.14167	2.63526	0.224	0.085
ANAPC16	gw18	temporal	temporal	mid	neuron	0	0.25123	0.4006	1.59459	0.354	0.222
ANGPT2	gw18	motor	msp	mid	rg	3e-5	0.79229	11.65129	14.70588	0.5	0.034
ANK2	gw18	motor	msp	mid	ipc	0	0.78731	1.48276	1.88333	0.678	0.36
ANK3	gw18	parietal	msp	mid	neuron	0	0.36451	0.47441	1.30148	0.79	0.607
ANKRD11	gw18	parietal	msp	mid	ipc	0.01131	0.30889	0.40928	1.325	0.477	0.36
ANKRD12	gw18	parietal	msp	mid	neuron	0	0.30823	0.35412	1.14888	0.818	0.712
ANKRD12	gw18	temporal	temporal	mid	neuron	0	0.25819	0.2944	1.14025	0.813	0.713
ANKRD35	gw18	v1	v1	mid	rg	0	0.33872	1.20289	3.55128	0.277	0.078
ANKS1B	gw18	parietal	msp	mid	neuron	0	0.28901	0.42623	1.47479	0.351	0.238
ANKS1B	gw18	temporal	temporal	mid	neuron	0	0.28829	0.48985	1.69915	0.401	0.236
ANP32B	gw18	pfc	pfc	mid	rg	0.00103	0.33759	0.51538	1.52661	0.545	0.357
ANP32B	gw18	v1	v1	mid	rg	0	0.39663	0.78108	1.96928	0.577	0.293
ANXA2	gw18	pfc	pfc	mid	rg	1.2e-4	0.39878	0.65212	1.63529	0.556	0.34
AP1S2	gw18	pfc	pfc	mid	ipc	0	0.70752	1.615	2.28261	0.42	0.184
AP1S2	gw18	pfc	pfc	mid	neuron	0	0.50643	1.45176	2.86667	0.43	0.15
AP1S2	gw18	pfc	pfc	mid	rg	0	0.60275	1.66833	2.76786	0.465	0.168
AP3S1	gw18	v1	v1	mid	rg	0	0.28907	0.48495	1.67763	0.51	0.304
APC	gw18	parietal	msp	mid	neuron	0	0.30515	0.36797	1.20588	0.697	0.578
APEX1	gw18	parietal	msp	mid	ipc	0.00127	0.31517	0.37436	1.18783	0.683	0.575
APEX1	gw18	temporal	temporal	mid	ipc	1.6e-4	0.27605	0.33339	1.20768	0.692	0.573
APLP1	gw18	pfc	pfc	mid	ipc	0	0.44201	0.82214	1.86	0.279	0.15
APLP1	gw18	pfc	pfc	mid	neuron	0	0.46861	0.96269	2.05435	0.567	0.276
APLP2	gw18	v1	v1	mid	rg	5e-5	0.29473	0.48111	1.63235	0.444	0.272
APOA1BP	gw18	v1	v1	mid	rg	0	0.2865	0.68369	2.38636	0.315	0.132
APOL4	gw18	parietal	msp	mid	ipc	5e-5	0.29408	0.94224	3.20402	0.157	0.049
APOL4	gw18	temporal	temporal	mid	ipc	1e-5	0.31778	1.05263	3.31243	0.159	0.048
APP	gw18	pfc	pfc	mid	neuron	0	0.30268	0.41523	1.37184	0.76	0.554
APP	gw18	pfc	pfc	mid	rg	0	0.44003	0.66681	1.51538	0.591	0.39
APRT	gw18	v1	v1	mid	rg	0	0.34755	0.62194	1.78947	0.51	0.285
ARC	gw18	pfc	pfc	mid	rg	0	0.86534	2.76502	3.19531	0.409	0.128
ARF5	gw18	v1	v1	mid	rg	0	0.3183	0.89308	2.80576	0.39	0.139
ARF5	gw18	v1	v1	mid	ipc	0	0.27272	0.75073	2.75278	0.245	0.089
ARFGEF3	gw18	v1	v1	mid	neuron	0	0.26939	0.51697	1.91905	0.403	0.21
ARGLU1	gw18	v1	v1	mid	ipc	0	0.31667	0.50541	1.59603	0.723	0.453
ARGLU1	gw18	pfc	pfc	mid	rg	0	0.45575	0.67355	1.47789	0.702	0.475
ARGLU1	gw18	v1	v1	mid	rg	0	0.72792	1.76299	2.42197	0.838	0.346
ARHGDIA	gw18	v1	v1	mid	rg	0	0.39693	1.05683	2.6625	0.426	0.16
ARHGEF12	gw18	parietal	msp	mid	neuron	0	0.34222	0.52832	1.5438	0.423	0.274
ARHGEF12	gw18	temporal	temporal	mid	neuron	0	0.26174	0.40025	1.5292	0.419	0.274
ARID4A	gw18	parietal	msp	mid	neuron	0	0.34844	0.41719	1.19731	0.801	0.669
ARID4A	gw18	temporal	temporal	mid	neuron	0	0.33333	0.41579	1.24738	0.832	0.667
ARID4B	gw18	v1	v1	mid	ipc	0	0.28263	0.4278	1.51365	0.61	0.403
ARID4B	gw18	v1	v1	mid	rg	0	0.28301	0.47948	1.69421	0.615	0.363
ARIH2	gw18	v1	v1	mid	rg	0	0.33267	0.87885	2.64179	0.354	0.134
ARL17A	gw18	temporal	temporal	mid	neuron	0	0.3237	0.70512	2.17829	0.281	0.129
ARL17A	gw18	parietal	msp	mid	neuron	0	0.31959	0.53427	1.67174	0.219	0.131
ARL17B	gw18	parietal	msp	mid	neuron	0	0.33015	0.58394	1.76871	0.26	0.147
ARL17B	gw18	temporal	temporal	mid	neuron	0	0.43206	0.96014	2.22222	0.32	0.144
ARL2BP	gw18	pfc	pfc	mid	neuron	0	0.25153	0.5486	2.1811	0.277	0.127
ARL2BP	gw18	v1	v1	mid	rg	0	0.25756	0.61921	2.40411	0.351	0.146
ARL3	gw18	temporal	temporal	mid	neuron	0	0.2648	0.32731	1.23604	0.686	0.555
ARL4A	gw18	motor	msp	mid	neuron	0	0.33875	0.51673	1.52541	0.18	0.118
ARL4C	gw18	v1	v1	mid	ipc	0	0.46606	0.99618	2.13744	0.451	0.211
ARL4D	gw18	temporal	temporal	mid	neuron	0	0.2908	0.47748	1.64192	0.376	0.229
ARL5A	gw18	pfc	pfc	mid	neuron	0	0.48365	1.57495	3.25641	0.381	0.117
ARL5A	gw18	pfc	pfc	mid	rg	0	0.42153	0.86563	2.05357	0.46	0.224
ARL5A	gw18	pfc	pfc	mid	ipc	0	0.33392	0.56528	1.69285	0.237	0.14
ARL6IP4	gw18	pfc	pfc	mid	rg	0.00114	0.36819	0.63226	1.71721	0.419	0.244
ARL6IP4	gw18	v1	v1	mid	rg	0	0.51162	1.75657	3.43333	0.515	0.15
ARL6IP6	gw18	v1	v1	mid	rg	0	0.43319	1.24088	2.86452	0.444	0.155
ARPC2	gw18	motor	msp	mid	ipc	0.036	0.36084	0.48208	1.33602	0.664	0.497
ARPC2	gw18	pfc	pfc	mid	ipc	0	0.28874	0.34874	1.20779	0.558	0.462
ARPC2	gw18	v1	v1	mid	neuron	0	0.25605	0.33038	1.29028	0.889	0.689
ARPC2	gw18	pfc	pfc	mid	rg	0	0.39988	0.67788	1.69524	0.712	0.42
ARPC2	gw18	v1	v1	mid	rg	0	0.63539	1.43686	2.2614	0.744	0.329
ARPC5	gw18	motor	msp	mid	ipc	1.2e-4	0.42741	0.58555	1.37	0.685	0.5
ARPC5L	gw18	pfc	pfc	mid	neuron	0	0.28904	0.54562	1.8877	0.353	0.187
ARPC5L	gw18	v1	v1	mid	rg	0	0.29056	0.84076	2.89362	0.272	0.094
ARPC5L	gw18	pfc	pfc	mid	ipc	0	0.25185	0.36203	1.43749	0.161	0.112
ARPP21	gw18	motor	msp	mid	ipc	0	0.85924	1.9868	2.31227	0.622	0.269
ARPP21	gw18	pfc	pfc	mid	ipc	0	0.45855	0.74773	1.63063	0.362	0.222
ARPP21	gw18	pfc	pfc	mid	rg	0	0.25531	0.75991	2.97647	0.253	0.085
ASAH1	gw18	temporal	temporal	mid	neuron	0	0.25086	0.36891	1.47059	0.475	0.323
ASAH1	gw18	v1	v1	mid	neuron	0	0.26087	0.47312	1.81362	0.506	0.279
ASCL1	gw18	pfc	pfc	mid	rg	3e-5	0.37078	0.76614	2.0663	0.374	0.181
ASPH	gw18	v1	v1	mid	rg	0	0.34552	0.74087	2.14423	0.446	0.208
ASPSCR1	gw18	v1	v1	mid	rg	0	0.25298	1.01741	4.02165	0.185	0.046
ATCAY	gw18	parietal	msp	mid	ipc	0.03888	0.27561	0.36993	1.34226	0.451	0.336
ATOX1	gw18	pfc	pfc	mid	ipc	3e-5	0.274	0.31403	1.14607	0.408	0.356
ATOX1	gw18	pfc	pfc	mid	neuron	0	0.35307	0.49782	1.41	0.705	0.5
ATP1A2	gw18	v1	v1	mid	rg	0	0.25046	0.37454	1.49539	0.649	0.434
ATP1B1	gw18	v1	v1	mid	neuron	0	0.2779	0.40582	1.46027	0.533	0.365
ATP1B1	gw18	pfc	pfc	mid	rg	0	0.36733	0.90642	2.46763	0.343	0.139
ATP1B3	gw18	v1	v1	mid	rg	0	0.39718	0.99619	2.5082	0.459	0.183
ATP2B1	gw18	motor	msp	mid	ipc	0.01703	0.39674	0.74163	1.86932	0.329	0.176
ATP2B1	gw18	pfc	pfc	mid	ipc	0	0.30721	0.52381	1.70502	0.237	0.139
ATP5B	gw18	v1	v1	mid	rg	0.00545	0.30029	0.34978	1.16482	0.841	0.722
ATP5D	gw18	pfc	pfc	mid	ipc	0	1.37311	26.04166	18.96552	0.55	0.029
ATP5D	gw18	pfc	pfc	mid	neuron	0	1.4411	30.0985	20.88571	0.731	0.035
ATP5D	gw18	pfc	pfc	mid	rg	0	1.62842	33.48188	20.56098	0.843	0.041
ATP5E	gw18	pfc	pfc	mid	neuron	0	0.36669	0.39866	1.0872	0.96	0.883
ATP5G2	gw18	parietal	msp	mid	ipc	0	0.27339	0.31002999999999997	1.13403	0.863	0.761
ATP5G2	gw18	temporal	temporal	mid	ipc	0	0.30083	0.34199	1.13684	0.864	0.76
ATP5I	gw18	parietal	msp	mid	ipc	0.04563	0.27825	0.3141	1.12886	0.622	0.551
ATP5I	gw18	temporal	temporal	mid	ipc	2.2e-4	0.26685	0.3316	1.24265	0.676	0.544
ATP5I	gw18	temporal	temporal	mid	neuron	0	0.33214	0.41974	1.26375	0.781	0.618
ATP5I	gw18	temporal	temporal	mid	rg	0	0.32899	0.36488	1.10907	0.844	0.761
ATP5J2	gw18	pfc	pfc	mid	neuron	0	0.34705	0.44127	1.27147	0.829	0.652
ATP5J2	gw18	temporal	temporal	mid	neuron	0	0.26738	0.30749	1.15	0.805	0.7
ATP5J2	gw18	pfc	pfc	mid	ipc	0	0.25647	0.27369	1.06714	0.604	0.566
ATP6AP2	gw18	pfc	pfc	mid	rg	1e-5	0.34943	0.64783	1.85393	0.495	0.267
ATP6AP2	gw18	v1	v1	mid	rg	0	0.4565	1.15829	2.53731	0.51	0.201
ATP6V0B	gw18	motor	msp	mid	ipc	0	0.54465	0.8775	1.61111	0.58	0.36
ATP6V0B	gw18	pfc	pfc	mid	ipc	0	0.32598	0.42597	1.30675	0.426	0.326
ATP6V0B	gw18	pfc	pfc	mid	rg	8e-4	0.36612	0.59787	1.633	0.485	0.297
ATP6V0E2	gw18	pfc	pfc	mid	rg	0.00347	0.344	0.54919	1.59649	0.455	0.285
ATP6V0E2	gw18	v1	v1	mid	rg	0	0.34244	0.75893	2.21622	0.492	0.222
ATP6V1G1	gw18	temporal	temporal	mid	ipc	0	0.40047	0.45731	1.14194	0.885	0.775
ATXN10	gw18	v1	v1	mid	rg	0	0.49279	1.23626	2.5087	0.577	0.23
AURKAIP1	gw18	pfc	pfc	mid	rg	0	0.44178	0.86657	1.96154	0.51	0.26
AURKAIP1	gw18	v1	v1	mid	rg	0	0.63197	2.40556	3.80645	0.59	0.155
AUTS2	gw18	motor	msp	mid	ipc	0.09455	0.41066	0.51055	1.24324	0.552	0.444
B3GALT2	gw18	parietal	msp	mid	neuron	0	0.66648	1.34333	2.01556	0.518	0.257
B3GALT2	gw18	temporal	temporal	mid	neuron	0	0.57268	1.27561	2.22745	0.568	0.255
B3GAT1	gw18	parietal	msp	mid	neuron	0	0.44802	0.8912	1.98919	0.368	0.185
B3GAT1	gw18	temporal	temporal	mid	neuron	0	0.34748	0.65364	1.88108	0.348	0.185
BACH2	gw18	parietal	msp	mid	neuron	0	0.30643	0.42578	1.3895	0.503	0.362
BAD	gw18	pfc	pfc	mid	rg	0	0.44434	1.0452	2.35227	0.414	0.176
BAD	gw18	v1	v1	mid	rg	0	0.38092	1.23876	3.25203	0.4	0.123
BAG1	gw18	pfc	pfc	mid	neuron	0	0.67126	5.96329	8.88372	0.382	0.043
BAG1	gw18	pfc	pfc	mid	rg	0	0.79009	4.78568	6.05714	0.424	0.07
BAG1	gw18	pfc	pfc	mid	ipc	0	0.55732	3.05049	5.47354	0.208	0.038
BASP1	gw18	pfc	pfc	mid	neuron	0	0.28178	0.33658	1.19444	0.903	0.756
BAZ1A	gw18	v1	v1	mid	ipc	0	0.26703	0.4838	1.81176	0.308	0.17
BAZ1A	gw18	v1	v1	mid	rg	0	0.25703	0.59759	2.325	0.372	0.16
BAZ2B	gw18	parietal	msp	mid	ipc	0	0.45309	0.64136	1.41551	0.712	0.503
BAZ2B	gw18	temporal	temporal	mid	ipc	0	0.36918	0.49273	1.33465	0.674	0.505
BBX	gw18	temporal	temporal	mid	ipc	0.03372	0.27408	0.39277	1.43304	0.321	0.224
BCAN	gw18	v1	v1	mid	rg	0	0.73792	1.47232	1.99524	0.838	0.42
BCKDK	gw18	v1	v1	mid	rg	0	0.35283	1.58483	4.4918	0.274	0.061
BCL11A	gw18	v1	v1	mid	ipc	0	0.45174	0.86767	1.92075	0.509	0.265
BCL11A	gw18	v1	v1	mid	neuron	0	0.29094	0.45237	1.55484	0.723	0.465
BCL11B	gw18	pfc	pfc	mid	ipc	2e-5	0.26353	0.35972	1.365	0.273	0.2
BCL11B	gw18	parietal	msp	mid	neuron	0	0.81079	2.54499	3.13889	0.565	0.18
BCL11B	gw18	temporal	temporal	mid	neuron	0	0.619	1.67096	2.69945	0.494	0.183
BCL7A	gw18	v1	v1	mid	neuron	0	0.43067	0.77859	1.80788	0.734	0.406
BCL7A	gw18	v1	v1	mid	ipc	0	0.25668	0.42054	1.63837	0.444	0.271
BCLAF1	gw18	parietal	msp	mid	ipc	0.07502	0.25822	0.31036	1.20192	0.625	0.52
BEX1	gw18	v1	v1	mid	ipc	0	0.30676	0.38516	1.25556	0.904	0.72
BEX1	gw18	v1	v1	mid	rg	0	0.56068	0.87354	1.558	0.779	0.5
BEX2	gw18	parietal	msp	mid	neuron	0	0.47675	0.54646	1.14621	0.878	0.766
BEX2	gw18	temporal	temporal	mid	neuron	0	0.47878	0.57328	1.19739	0.916	0.765
BEX4	gw18	temporal	temporal	mid	neuron	0	0.31688	0.36592	1.15475	0.888	0.769
BEX5	gw18	motor	msp	mid	ipc	0.0879	0.40104	0.77063	1.92157	0.294	0.153
BEX5	gw18	pfc	pfc	mid	ipc	0	0.38817	0.81987	2.11213	0.226	0.107
BHLHE22	gw18	v1	v1	mid	neuron	0	0.40938	0.71388	1.74383	0.565	0.324
BICD1	gw18	v1	v1	mid	ipc	0	0.30308	0.49132	1.62108	0.569	0.351
BICD1	gw18	v1	v1	mid	rg	0	0.32567	0.56579	1.73731	0.582	0.335
BID	gw18	pfc	pfc	mid	rg	0.09595	0.25069	0.47527	1.89583	0.273	0.144
BID	gw18	v1	v1	mid	rg	0	0.29067	0.82641	2.84314	0.29	0.102
BID	gw18	pfc	pfc	mid	ipc	1e-5	0.28792	0.405	1.40666	0.211	0.15
BID	gw18	motor	msp	mid	neuron	0	0.30805	0.3295	1.06962	0.338	0.316
BMP7	gw18	v1	v1	mid	rg	1e-5	0.30311	0.50554	1.66783	0.477	0.286
BNIP3	gw18	pfc	pfc	mid	rg	0	0.54564	1.07759	1.97491	0.551	0.279
BNIP3	gw18	v1	v1	mid	rg	0	0.33982	0.82021	2.41364	0.531	0.22
BNIP3L	gw18	parietal	msp	mid	neuron	0	0.39124	0.50926	1.30168	0.699	0.537
BOD1	gw18	pfc	pfc	mid	rg	0	0.33975	1.20455	3.54545	0.273	0.077
BOD1	gw18	pfc	pfc	mid	ipc	0	0.32321	0.69691	2.15622	0.138	0.064
BOD1	gw18	pfc	pfc	mid	neuron	0	0.36805	1.47841	4.01688	0.237	0.059
BOD1L1	gw18	parietal	msp	mid	neuron	0	0.25494	0.34876	1.368	0.342	0.25
BOLA1	gw18	v1	v1	mid	rg	0	0.36584	1.5334	4.1914	0.197	0.047
BOP1	gw18	pfc	pfc	mid	rg	1e-5	0.30455	2.45652	8.06613	0.121	0.015
BPTF	gw18	parietal	msp	mid	ipc	0.05142	0.2732	0.32648	1.19503	0.625	0.523
BPTF	gw18	parietal	msp	mid	neuron	0	0.27488	0.32281	1.17439	0.633	0.539
BRD9	gw18	pfc	pfc	mid	ipc	0	0.3824	0.98149	2.56662	0.154	0.06
BRD9	gw18	pfc	pfc	mid	neuron	0	0.2513	0.81389	3.23876	0.217	0.067
BRWD1	gw18	pfc	pfc	mid	rg	0.04458	0.27282	0.45734	1.67635	0.404	0.241
BTF3	gw18	parietal	msp	mid	ipc	0	0.25194	0.26784	1.0631	0.994	0.935
BTF3	gw18	temporal	temporal	mid	ipc	1.1e-4	0.28317	0.29134	1.02885	0.963	0.936
BTG1	gw18	pfc	pfc	mid	ipc	0	0.77196	1.46398	1.89644	0.586	0.309
BTG1	gw18	pfc	pfc	mid	neuron	0	0.42632	1.38555	3.25	0.312	0.096
BTG1	gw18	pfc	pfc	mid	rg	0	0.95383	2.32059	2.43293	0.798	0.328
BTG3	gw18	pfc	pfc	mid	rg	0.00169	0.31519	0.47865	1.51862	0.53	0.349
BTG3	gw18	v1	v1	mid	rg	0	0.54014	1.37314	2.54217	0.633	0.249
C11orf31	gw18	v1	v1	mid	rg	0	0.26492	0.37009	1.397	0.746	0.534
C11orf58	gw18	temporal	temporal	mid	ipc	0	0.28183	0.35252	1.2508	0.778	0.622
C12orf57	gw18	parietal	msp	mid	neuron	0	0.30015	0.32936	1.09731	0.857	0.781
C12orf75	gw18	pfc	pfc	mid	rg	0	0.26881	1.73331	6.44805	0.187	0.029
C14orf132	gw18	v1	v1	mid	ipc	0	0.3328	0.6588	1.97959	0.388	0.196
C14orf132	gw18	parietal	msp	mid	neuron	0	0.43386	1.0791	2.48718	0.291	0.117
C14orf132	gw18	temporal	temporal	mid	neuron	0	0.38512	1.03253	2.68103	0.311	0.116
C14orf37	gw18	parietal	msp	mid	neuron	0	0.25465	0.37584	1.47589	0.245	0.166
C16orf13	gw18	pfc	pfc	mid	ipc	0	0.29503	0.4217	1.42935	0.263	0.184
C16orf13	gw18	pfc	pfc	mid	rg	0	0.3818	0.82693	2.16585	0.444	0.205
C16orf13	gw18	v1	v1	mid	rg	0	0.47085	1.46854	3.11888	0.446	0.143
C16orf87	gw18	temporal	temporal	mid	neuron	0	0.26033	0.40615	1.56017	0.376	0.241
C17orf89	gw18	pfc	pfc	mid	neuron	0	0.62777	9.44647	15.04762	0.316	0.021
C17orf89	gw18	pfc	pfc	mid	rg	0	0.77544	7.91669	10.2093	0.439	0.043
C17orf89	gw18	pfc	pfc	mid	ipc	0	0.45727	2.06386	4.51339	0.167	0.037
C19orf24	gw18	pfc	pfc	mid	rg	0	0.28169	1.42124	5.04534	0.222	0.044
C19orf25	gw18	v1	v1	mid	rg	0	0.25966	0.72706	2.8	0.308	0.11
C19orf43	gw18	v1	v1	mid	ipc	0	0.40002	0.67782	1.69444	0.793	0.468
C19orf43	gw18	v1	v1	mid	neuron	0	0.39599	0.56679	1.43131	0.896	0.626
C19orf43	gw18	pfc	pfc	mid	rg	0	0.67661	1.43007	2.11357	0.763	0.361
C19orf43	gw18	v1	v1	mid	rg	0	0.67909	2.09387	3.08333	0.777	0.252
C19orf52	gw18	pfc	pfc	mid	rg	0.00332	0.31431	1.83615	5.8418	0.111	0.019
C19orf60	gw18	pfc	pfc	mid	neuron	0	0.5054	1.24007	2.45361	0.476	0.194
C19orf60	gw18	v1	v1	mid	neuron	0	0.40199	0.91142	2.26728	0.492	0.217
C19orf60	gw18	pfc	pfc	mid	rg	0	0.44762	0.98681	2.20455	0.485	0.22
C19orf60	gw18	v1	v1	mid	rg	0	0.60363	2.31616	3.83704	0.518	0.135
C1orf122	gw18	pfc	pfc	mid	neuron	0	0.35064	1.01339	2.89011	0.263	0.091
C1orf122	gw18	pfc	pfc	mid	rg	0	0.43856	1.02245	2.33136	0.394	0.169
C1orf122	gw18	v1	v1	mid	rg	0	0.39524	1.21164	3.06557	0.374	0.122
C1orf35	gw18	pfc	pfc	mid	rg	2e-5	0.31767	0.73958	2.32812	0.298	0.128
C1orf35	gw18	v1	v1	mid	rg	0	0.32864	0.97543	2.96809	0.279	0.094
C1orf61	gw18	temporal	temporal	mid	ipc	0	0.26226	0.28381	1.08218	0.935	0.864
C1orf61	gw18	parietal	msp	mid	ipc	0.00387	0.3331	0.34616	1.03921	0.901	0.867
C1QBP	gw18	pfc	pfc	mid	ipc	0	0.78844	6.56319	8.32432	0.308	0.037
C1QBP	gw18	pfc	pfc	mid	neuron	0	0.92897	10.12572	10.9	0.545	0.05
C1QBP	gw18	pfc	pfc	mid	rg	0	0.82534	10.64256	12.89474	0.49	0.038
C1QTNF4	gw18	v1	v1	mid	neuron	0	0.31893	0.91029	2.85417	0.274	0.096
C1QTNF4	gw18	v1	v1	mid	rg	0	0.30581	1.06781	3.49175	0.213	0.061
C20orf24	gw18	pfc	pfc	mid	neuron	0	0.54605	4.15532	7.60976	0.312	0.041
C20orf24	gw18	pfc	pfc	mid	rg	0	0.54307	3.32107	6.11538	0.318	0.052
C20orf24	gw18	pfc	pfc	mid	ipc	0	0.45183	2.25908	4.99984	0.16	0.032
C20orf27	gw18	pfc	pfc	mid	rg	0.0017	0.29499	0.59175	2.00602	0.333	0.166
C20orf27	gw18	v1	v1	mid	rg	0	0.4005	1.23312	3.07895	0.351	0.114
C21orf59	gw18	v1	v1	mid	rg	0	0.28618	0.99234	3.46753	0.267	0.077
C2orf49	gw18	parietal	msp	mid	neuron	1e-5	0.27582	0.44486	1.61289	0.25	0.155
C4orf3	gw18	temporal	temporal	mid	neuron	0	0.25117	0.32255	1.28419	0.601	0.468
C4orf48	gw18	pfc	pfc	mid	ipc	0	1.6776	87.62218	52.23077	0.679	0.013
C4orf48	gw18	pfc	pfc	mid	neuron	0	2.08103	135.41557	65.07143	0.911	0.014
C4orf48	gw18	pfc	pfc	mid	rg	0	1.45576	99.65329	68.45455	0.753	0.011
C5orf30	gw18	pfc	pfc	mid	rg	1e-5	0.32071	0.71198	2.22	0.333	0.15
C6orf48	gw18	v1	v1	mid	ipc	0	0.30066	0.44872	1.49246	0.594	0.398
C7orf50	gw18	pfc	pfc	mid	rg	0	0.43289	0.80395	1.85714	0.52	0.28
C7orf50	gw18	v1	v1	mid	rg	0	0.53989	1.60843	2.97917	0.572	0.192
C8orf33	gw18	v1	v1	mid	rg	0	0.36402	1.05514	2.89855	0.4	0.138
C9orf142	gw18	pfc	pfc	mid	rg	8e-5	0.34951	0.78639	2.25	0.288	0.128
C9orf142	gw18	v1	v1	mid	rg	0	0.27237	0.79394	2.91489	0.274	0.094
C9orf16	gw18	motor	msp	mid	ipc	0	0.52091	0.80526	1.54588	0.657	0.425
C9orf16	gw18	pfc	pfc	mid	ipc	0	0.39901	0.55819	1.39892	0.519	0.371
C9orf16	gw18	motor	msp	mid	neuron	0	0.29503	0.30188	1.02322	0.661	0.646
C9orf16	gw18	pfc	pfc	mid	rg	0	0.56396	1.60176	2.84021	0.551	0.194
C9orf16	gw18	v1	v1	mid	rg	0	0.2614	0.5228	2	0.382	0.191
C9orf24	gw18	pfc	pfc	mid	rg	2.5e-4	0.36356	1.2035	3.31029	0.192	0.058
CA12	gw18	parietal	msp	mid	ipc	1e-5	0.38861	0.72935	1.87681	0.259	0.138
CA12	gw18	temporal	temporal	mid	ipc	0	0.44716	1.05134	2.35115	0.308	0.131
CACNA2D1	gw18	pfc	pfc	mid	neuron	0	0.4447	1.04469	2.34921	0.444	0.189
CACNG3	gw18	parietal	msp	mid	neuron	0	0.25315	0.59435	2.34779	0.162	0.069
CACNG3	gw18	temporal	temporal	mid	neuron	0	0.47209	1.81569	3.84609	0.25	0.065
CACYBP	gw18	v1	v1	mid	rg	0	0.45519	0.97489	2.14173	0.544	0.254
CADM2	gw18	pfc	pfc	mid	ipc	0	0.30128	0.44755	1.4855	0.205	0.138
CALD1	gw18	temporal	temporal	mid	ipc	0	0.49376	0.734	1.48655	0.608	0.409
CALM1	gw18	motor	msp	mid	ipc	0	0.66484	0.82716	1.24416	0.958	0.77
CALM1	gw18	pfc	pfc	mid	ipc	0	0.32661	0.39735	1.2166	0.865	0.711
CALM1	gw18	pfc	pfc	mid	rg	0	0.61159	0.88825	1.45234	0.96	0.661
CALM1	gw18	v1	v1	mid	rg	0	0.85474000000000006	1.36066	1.59191	0.944	0.593
CALM2	gw18	motor	msp	mid	neuron	0	0.32034	0.31873	0.99497	0.99	0.995
CALR	gw18	v1	v1	mid	rg	0	0.62284	1.37968	2.21515	0.731	0.33
CAMK2B	gw18	v1	v1	mid	neuron	0	0.3668	0.92607	2.52469	0.409	0.162
CAMK2G	gw18	v1	v1	mid	neuron	0	0.27906	0.6322	2.26543	0.367	0.162
CAMK2G	gw18	v1	v1	mid	rg	1e-5	0.26751	0.70934	2.65166	0.236	0.089
CAMK4	gw18	v1	v1	mid	neuron	0	0.32198	0.71603000000000006	2.22388	0.447	0.201
CAMKV	gw18	v1	v1	mid	neuron	0	0.28064	0.4523	1.61165	0.664	0.412
CAND1	gw18	v1	v1	mid	rg	2e-5	0.25648	0.45149	1.76033	0.426	0.242
CAPZB	gw18	v1	v1	mid	rg	0	0.35632	0.63831	1.79139	0.541	0.302
CARD19	gw18	v1	v1	mid	rg	0	0.35911	1.2748	3.54994	0.213	0.06
