# From df_markers_by_cell_type_and_indiv.txt.
# Expanded metadata and filtered for excitatory lineage cells (rg, ipc, neuron).
# See `compare_markers_MAST_wilcox.Rmd`
# [2020-11-28]
# 
gene	p_val_adj	avg_logfc	gene.score	gene.ratio	pct.1	pct.2	p_val	stage_area	area	individual	celltype_stage	celltype_region	cell_type	file	stage_region	stage	region
PTBP2	1	1.02258	3.19556	3.125	0.6	0.192	0.00525	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
AKIP1	1	1.12502	5.29421	4.70588	0.4	0.085	0.00533	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ARRB2	1	1.02462	4.93792	4.81928	0.4	0.083	0.00564	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
RPP30	1	0.9959	4.85806	4.87805	0.4	0.082	0.00572	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
DYNC1I1	1	1.62324	4.68243	2.88462	0.6	0.208	0.00577	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ITGB1BP1	1	1.2463	3.68365	2.95567	0.6	0.203	0.00586	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
GFOD2	1	0.96012	4.5182	4.70588	0.4	0.085	0.00606	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
OST4	1	0.88574	1.36478	1.54083	1	0.649	0.00611	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CPNE1	1	1.1051	5.02318	4.54545	0.4	0.088	0.00646	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ECHS1	1	1.03021	2.95753	2.87081	0.6	0.209	0.0067	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
LIN7C	1	1.04027	4.7285	4.54545	0.4	0.088	0.00688	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SH3GL3	1	1.01026	4.6449	4.5977	0.4	0.087	0.00716	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
DCK	1	1.0799	4.8535	4.49438	0.4	0.089	0.00718	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
B3GALT2	1	1.01367	4.66056	4.5977	0.4	0.087	0.00726	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
VAPA	1	0.94258	1.97398	2.09424	0.8	0.382	0.00738	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MARCKS	1	1.28519	1.84587	1.43627	0.8	0.557	0.00753	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
VTI1B	1	0.96494	2.90936	3.01508	0.6	0.199	0.00769	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
C3orf14	1	0.95148	1.92704	2.02532	0.8	0.395	0.00794	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ATP1A1	1	1.01909	4.52927	4.44444	0.4	0.09	0.00809	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MARCH6	1	1.45934	3.89158	2.66667	0.6	0.225	0.0083	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SCOC	1	1.29321	3.51099	2.71493	0.6	0.221	0.0084	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PDIA3	1	1.09743	4.77145	4.34783	0.4	0.092	0.00843	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
AK6	1	1.05393	4.4848	4.25532	0.4	0.094	0.00903	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MPHOSPH6	1	0.91052	2.63918	2.89855	0.6	0.207	0.00979	early_parietal	parietal	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SLN	0	0.68722	1.30235	1.8951	0.542	0.286	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
MIF	0	0.34616	0.39579	1.14339	0.925	0.809	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
AC090498.1	0	0.37597	0.42332	1.12594	0.903	0.802	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
RPRM	0	0.53493	0.84099	1.57216	0.61	0.388	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
NNAT	0	0.34481	0.42933	1.24513	0.894	0.718	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
TUBB2A	0	0.29911	0.31695	1.05965	0.977	0.922	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
MLLT11	0	0.27634	0.28976	1.04857	0.95	0.906	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
CSRP2	0	0.34656	0.37302	1.07634	0.846	0.786	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
SLF1	0	0.46785	0.88401	1.88953	0.325	0.172	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
MT-ND4L	0	0.40115	0.56951	1.41972	0.504	0.355	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
ARL6IP1	0	0.32205	0.37581	1.16693	0.741	0.635	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
MEIS2	0	0.44795	0.59457	1.32732	0.515	0.388	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
ENC1	0	0.36457	0.49335	1.35325	0.521	0.385	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
EIF1B	2e-5	0.33887	0.4059	1.19783	0.551	0.46	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
VSTM2L	3e-5	0.36496	0.64742	1.77397	0.259	0.146	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
LMO3	1.3e-4	0.30924	0.42262	1.36667	0.492	0.36	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
TXN	1.4e-4	0.25396	0.30173	1.1881	0.619	0.521	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
PTGES3	2.9e-4	0.26374	0.32309	1.22506	0.528	0.431	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
RBP1	0.00182	0.29417	0.49412	1.67974	0.257	0.153	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
SYT4	0.00204	0.29945	0.40834	1.36364	0.39	0.286	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
TRIM36	0.00496	0.25763	0.33886	1.31532	0.438	0.333	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
MYT1L	0.00758	0.26254	0.31054	1.18282	0.537	0.454	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
ARPC5	0.01117	0.25592	0.28754	1.12353	0.573	0.51	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
FOS	0.01137	0.32471	0.40414	1.24462	0.463	0.372	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
SNAP25	0.0221	0.25392	0.32482	1.2792	0.449	0.351	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
PLK2	0.02451	0.31844	0.43329	1.36066	0.332	0.244	0	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
ADRA2A	0.55869	0.26479	0.36408	1.375	0.275	0.2	3e-5	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
TSPO	0.64402	0.26392	0.37854	1.43429	0.251	0.175	3e-5	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
FBXW7	1	0.25143	0.34106	1.35648	0.293	0.216	6e-5	early_pfc	pfc	gw17	neuron_early	neuron_pfc	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_pfc	early	pfc
CALM2	0	0.38021	0.38289	1.00705	1	0.993	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NEFM	0	0.86985	2.08293	2.39459	0.443	0.185	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PRMT2	7.5e-4	0.52592	0.69512	1.32172	0.797	0.603	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ATP5I	0.00141	0.38237	0.40645	1.06298	0.962	0.905	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
GAP43	0.00922	0.4577	0.49317	1.07751	0.987	0.916	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TSTD1	0.01448	0.68559	1.33292	1.94419	0.418	0.215	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CBX3	0.04405	0.44384	0.53019	1.19456	0.835	0.699	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SERPINI1	0.05929	0.68165	1.72458	2.53	0.253	0.1	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
YWHAE	0.06704	0.34275	0.35253	1.02854	0.937	0.911	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
UQCR11	0.08088	0.35488	0.39318	1.10791	0.924	0.834	0	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SRP14	0.2773	0.26432	0.27099	1.02524	0.975	0.951	1e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PPP3CA	0.34482	0.71113	1.33839	1.88205	0.367	0.195	2e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CNOT7	0.38776	0.55052	0.83402	1.51497	0.506	0.334	2e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NGFRAP1	0.38881	0.31131	0.33055	1.06181	0.962	0.906	2e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
BCYRN1	0.48011	0.83278	1.38797	1.66667	0.43	0.258	2e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
EIF2S2	0.50972	0.40028	0.52642	1.31514	0.747	0.568	2e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MT-ND4L	0.64479	0.38805	0.59202	1.52564	0.595	0.39	3e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
RPL12	0.65044	0.26528	0.26987	1.01729	1	0.983	3e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SYT4	0.91742	0.52693	0.86567	1.64286	0.506	0.308	4e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SRI	1	0.54486	0.89083	1.63498	0.43	0.263	6e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PHPT1	1	0.33394	0.40883	1.22427	0.797	0.651	7e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CDC42	1	0.47132	0.54783	1.16233	0.759	0.653	8e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CAPZA2	1	0.36477	0.48293	1.32394	0.658	0.497	8e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
STMN4	1	0.31533	0.36753	1.16555	0.873	0.749	9e-5	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
BEX5	1	0.49319	0.56974	1.1552	0.722	0.625	1.3e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SAR1A	1	0.54635	1.10865	2.0292	0.278	0.137	1.3e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
POMP	1	0.33107	0.3926	1.18587	0.772	0.651	1.6e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PPP1CB	1	0.65321	0.97762	1.49662	0.443	0.296	2.1e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NDUFA4	1	0.29659	0.31467	1.06094	0.975	0.919	3e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TBCA	1	0.34102	0.37029	1.08583	0.797	0.734	3e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
KLC1	1	0.40662	0.7243	1.78125	0.342	0.192	3.2e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
USMG5	1	0.30393	0.32211	1.05981	0.886	0.836	3.9e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
C16orf87	1	0.40077	0.74745	1.86503	0.304	0.163	4.5e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ATP5J2	1	0.28007	0.30765	1.09848	0.937	0.853	4.6e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
AP2B1	1	0.33626	0.40111	1.19286	0.835	0.7	4.8e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NTM	1	0.30368	0.39792	1.31034	0.684	0.522	5.2e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TRAPPC1	1	0.49212	0.67439	1.37037	0.481	0.351	5.2e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TMEM14A	1	0.46346	0.57553	1.24183	0.57	0.459	5.4e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
H1F0	1	0.39151	0.60837	1.5539	0.418	0.269	6.4e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
ID2	1	0.37727	0.51201	1.35714	0.57	0.42	7e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
WRB	1	0.36245	0.51451	1.41954	0.494	0.348	7e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PSMB5	1	0.36017	0.46286	1.2851	0.595	0.463	7.2e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MYL6B	1	0.3323	0.44562	1.34101	0.582	0.434	8.8e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NDUFA13	1	0.41257	0.45308	1.0982	0.671	0.611	9.4e-4	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
HNRNPH1	1	0.76623	1.00169	1.3073	0.519	0.397	0.00114	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
FAT3	1	0.42521	0.77394	1.82014	0.253	0.139	0.00126	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
CCDC167	1	0.26927	0.38164	1.4173	0.557	0.393	0.0013	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TXN	1	0.35575	0.42951	1.20734	0.658	0.545	0.00134	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
HMGCS1	1	0.50238	0.69842	1.39024	0.456	0.328	0.00134	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PDHA1	1	0.36604	0.62515	1.70787	0.304	0.178	0.00136	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
COX7B	1	0.28883	0.3513	1.21627	0.658	0.541	0.00137	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MARCH6	1	0.37719	0.60693	1.60909	0.354	0.22	0.00137	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
YBX1	1	0.27455	0.34844	1.26916	0.646	0.509	0.00138	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NDUFA12	1	0.36381	0.48291	1.32737	0.519	0.391	0.00154	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NDUFB2	1	0.4241	0.43389	1.02309	0.709	0.693	0.00162	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NDUFB9	1	0.34963	0.4519	1.29252	0.57	0.441	0.00165	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SET	1	0.40413	0.52168	1.29087	0.608	0.471	0.00168	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NREP	1	0.34766	0.37348	1.07427	0.81	0.754	0.0018600000000000001	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
AHSA1	1	0.40041	0.72283	1.80519	0.278	0.154	0.0019	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NAGK	1	0.44625	0.73728	1.65217	0.304	0.184	0.00209	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MDH1	1	0.37175	0.54749	1.47273	0.405	0.275	0.00242	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TIMM13	1	0.29575	0.37997	1.28477	0.582	0.453	0.00271	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
MINOS1	1	0.31241	0.43433	1.39024	0.456	0.328	0.00304	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SOX11	1	0.61801	0.65985	1.0677	0.899	0.842	0.00319	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TOMM5	1	0.38869	0.64266	1.65341	0.291	0.176	0.0033	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
LDHA	1	0.43911	0.74435	1.69512	0.278	0.164	0.00371	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
FKBP3	1	0.34773	0.42198	1.21351	0.557	0.459	0.00371	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
WBP5	1	0.31071	0.39868	1.28312	0.494	0.385	0.00385	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
RBMX	1	0.29975	0.34161	1.13964	0.759	0.666	0.00433	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
PTPRS	1	0.52293	0.75781	1.44915	0.342	0.236	0.0045	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
GNG3	1	0.39692	0.50893	1.28219	0.468	0.365	0.00481	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
OST4	1	0.35925	0.39307	1.09414	0.709	0.648	0.00503	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
SEPW1	1	0.35353	0.39707	1.12315	0.684	0.609	0.00504	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
TPI1	1	0.33712	0.42468	1.25974	0.582	0.462	0.00525	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
GRIN2B	1	0.36522	0.60341	1.65217	0.266	0.161	0.00537	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
NFIB	1	0.26037	0.32368	1.24316	0.772	0.621	0.00692	early_somatosensory	somatosensory	gw17	neuron_early	neuron_msp	neuron	gw17_neocortex_neuron_byarea_clustermarkers.txt	early_msp	early	msp
